16s_accession	gram_stain	cell_shape	motility	ph_optimum	ph_optimum_min	ph_optimum_max	salinity_optimum	salinity_midpoint	salinity_min	salinity_max	ph_min	ph_max	oxygen_preference
Y09911.1.1476	positive	rod-shaped	no	9.5	9.0	10.0		5.0	0.0	10.0	9.0	10.0	aerobe
JQ354968.1.1364	negative	rod-shaped	no	6.25	6.0	6.5		0.0	0.0	0.0	4.5	6.5	facultative_anaerobe
AY258614.1.1402	positive	rod-shaped	no					8.0	6.0	10.0			
EU484334.1.1464	positive	rod-shaped	no	7.0	7.0	7.0	0.5	0.5	0.0	1.0	7.0	7.0	anaerobe
AJ697609.1.1517	positive	mixed	no										anaerobe
AB064919.1.1492													
KY937951.1.1480	positive	mixed	no					6.5	6.5	6.5			
JQ608324.1.1434	negative	rod-shaped	yes	7.0	7.0	7.0	0.0	1.5	0.0	3.0	6.0	8.0	aerobe
JQ746476.1.1309	negative	rod-shaped	yes					3.0	0.0	6.0			aerobe
EU718058.1.1391	negative	rod-shaped	yes	7.5	7.5	7.5		1.5	0.0	3.0	6.0	12.0	facultative_anaerobe
JQ780830.1.1329													anaerobe
JQ650245.1.1439	positive	coccus-shaped	no	8.0	8.0	8.0		2.5	0.0	5.0	6.0	10.0	facultative_anaerobe
JQ809697.1.1447	negative	mixed	no	6.5	6.5	6.5	0.7	0.7	0.0	1.4	4.0	8.0	anaerobe
HM007566.1.1345													anaerobe
FP929032.881290.882801	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AJ888239.1.1389	negative	rod-shaped	yes	6.5	6.5	6.5	0.5	0.5	0.0	1.0	4.0	10.0	aerobe
HM007590.1.1365	positive	rod-shaped	no										anaerobe
AJ973157.1.1529	positive	coccus-shaped	no	6.25	4.5	8.0	10.0	10.0	10.0	10.0	4.5	8.0	facultative_anaerobe
HM007565.1.1329													
EU709017.1.1408													
EF059881.1.1417	negative	rod-shaped	yes					3.5	0.0	7.0	5.0	10.0	facultative_anaerobe
HM007583.1.1345	positive	rod-shaped	no										anaerobe
HM007586.1.1312													anaerobe
AY278626.1.1462	positive	mixed	no										anaerobe
HM007578.1.1344	positive	rod-shaped	no										anaerobe
HM037995.1.1446													
FJ711049.1.1454	positive	rod-shaped	no										anaerobe
JX966318.1.1363													aerobe
EU919515.1.1268													anaerobe
FJ715930.1.1401	negative	coccus-shaped	no										anaerobe
EF090267.1.1445	negative	rod-shaped	no					2.0	0.0	4.0	6.0	9.0	aerobe
AB071950.1.1341	positive	rod-shaped	no					5.0	0.0	10.0			aerobe
FR681902.1.1718	positive	rod-shaped	no	6.5	6.5	6.5	2.5	2.5	0.0	5.0	5.0	8.0	facultative_anaerobe
AB071953.1.1312	negative	rod-shaped	no					3.0	0.0	6.0			aerobe
FR733677.1.1497		rod-shaped	no								5.6	8.0	anaerobe
FR749935.1.1522	positive	rod-shaped	no	7.0	7.0	7.0					6.0	8.0	anaerobe
FR749945.1.1521	positive	rod-shaped	no	7.0	7.0	7.0					6.0	8.0	anaerobe
EU826403.1.1339	positive	rod-shaped											anaerobe
EU868814.1.1450	positive	rod-shaped	no				5.5	7.5	0.0	15.0			facultative_anaerobe
HM007585.1.1335													anaerobe
L08066.1.1355													
LN866995.1.1482													
EF218611.1.1314													anaerobe
FJ792538.1.1372													
LN846908.1.1491	negative	rod-shaped	no	7.15	7.0	7.3					6.0	8.5	anaerobe
AM292800.1.1367	negative	rod-shaped	no				3.0	3.0	3.0	3.0			aerobe
EU928746.1.1484	negative	rod-shaped	no				2.0	4.5	0.0	9.0			
FJ859899.1.1419	negative	rod-shaped	no	7.5	7.5	7.5	2.0	1.5	0.0	3.0	6.0	9.0	aerobe
FJ816610.1.1409	negative	mixed											aerobe
EF185167.1.1497	negative	coccus-shaped	no										anaerobe
EF108443.1.1344	negative	coccus-shaped	no										anaerobe
L37040.1.1377	negative	rod-shaped											anaerobe
L16498.1.1472													anaerobe
L16465.1.1473	negative	rod-shaped	no										anaerobe
AY350613.1.1456	negative	rod-shaped	no										anaerobe
L16475.1.1471	negative	rod-shaped	no										anaerobe
FJ792537.1.1368	negative	rod-shaped											anaerobe
AY326462.1.1473	positive	coccus-shaped	no										anaerobe
AM237369.1.1209	positive	coccus-shaped	no				7.5	7.5	0.0	15.0			aerobe
EF174498.1.1332	negative	rod-shaped	yes	7.0	7.0	7.0		1.0	0.0	2.0	5.0	9.0	aerobe
FR749936.1.1524	positive	rod-shaped	no	7.0	7.0	7.0					6.0	8.0	anaerobe
L34682.1.1486													anaerobe
L34617.1.1490													anaerobe
EF187228.1.1400								3.75	0.0	7.5			
AY321958.1.1429													anaerobe
FJ858731.1.1262													anaerobe
KF147852.1.1523	positive	rod-shaped	no	6.8	6.8	6.8					6.8	6.8	anaerobe
EF187238.1.1370													anaerobe
KC311561.1.1469													
KC251737.1.1400													aerobe
KX672815.1.1409	negative	rod-shaped	yes	7.5	7.0	8.0	0.0	2.0	0.0	4.0	6.0	10.0	aerobe
LN870298.1.1495													
KR364770.1.1431	positive	rod-shaped											anaerobe
KR364765.1.1465	positive	filament-shaped											anaerobe
KR364760.1.1485	positive	rod-shaped											anaerobe
KR364774.1.1448	positive	rod-shaped											anaerobe
KR364792.1.1528	negative	rod-shaped											anaerobe
KC311366.1.1433													anaerobe
AM398646.1.1476	positive		no										aerobe
AB108825.1.1490	negative	rod-shaped	no										anaerobe
FJ947528.1.1381	positive	rod-shaped	no	6.0	6.0	6.0					5.5	8.0	anaerobe
EF424395.1.1359	negative	rod-shaped	mixed	7.5	7.5	7.5	1.0	1.5	1.0	2.0	6.0	9.0	aerobe
GQ240641.1.1325	negative	rod-shaped	no					0.0	0.0	0.0			
LN881588.1.1487													
KF895368.1.1501	positive	sphere-shaped	no	7.5	7.0	8.0		7.5	0.0	15.0	5.0	9.0	aerobe
HQ283402.1.1494													
KR610524.1.1480	negative	rod-shaped	no	7.0	7.0	7.0		0.5	0.0	1.0	6.0	7.0	aerobe
LC127059.1.1395	positive	mixed	no										facultative_anaerobe
GQ456228.1.1442	positive	rod-shaped	no										anaerobe
EF436500.1.1394	negative	rod-shaped	no				3.0	3.0	3.0	3.0			anaerobe
HQ263024.1.1386	positive	ovoid-shaped	no					3.0	0.0	6.0	5.0	9.0	facultative_anaerobe
KC429786.1.1423	positive	rod-shaped	no										facultative_anaerobe
AY468447.1.1310	negative	rod-shaped	no										
GQ496624.1.1458	negative	rod-shaped	no										anaerobe
GQ456204.1.1468													anaerobe
HM120211.1.1436		rod-shaped	yes										anaerobe
HM120210.1.1395		mixed	yes										anaerobe
HQ335006.1.1414	positive	coccus-shaped	no										facultative_anaerobe
HM120209.1.1377		rod-shaped	no								4.9	7.5	anaerobe
FM863703.1.1407	positive	rod-shaped					0.9	0.9	0.9	0.9			aerobe
FM872292.1.1364	negative	coccus-shaped	no	7.0	7.0	7.0	1.0	1.0	0.5	1.5	7.0	7.0	aerobe
FM995533.1.1388	positive	coccus-shaped											aerobe
FN178467.1.1428													
KC494323.1.1465													
KR911910.1.1341	positive	coccus-shaped		6.5	6.5	6.5	0.5	1.25	0.5	2.0	6.5	9.0	anaerobe
EF529620.1.1456	positive	coccus-shaped	no										anaerobe
GU045364.1.1452	positive	coccus-shaped	no										facultative_anaerobe
AB182483.1.1494	negative	rod-shaped	no										anaerobe
FN178464.1.1428	positive	coccus-shaped	no										anaerobe
LN998062.1.1487													
HQ452857.1.1463													
AM423088.1.1339													
HM212668.1.1457	negative	mixed	no										aerobe
HQ452862.1.1498													
HQ436501.1.1448	negative	rod-shaped	no	6.0	6.0	6.0		0.5	0.0	1.0	6.0	7.0	aerobe
KF177334.1.1544													
FN297835.1.1455	negative	ovoid-shaped	yes	8.0	8.0	8.0		2.0	0.0	4.0	7.0	9.0	aerobe
AM422125.1.1474	negative	rod-shaped	no										anaerobe
FN547980.1.1210													
EU008088.1.1549													
EF694028.1.1463	positive	mixed	no	7.0	7.0	7.0					7.0	7.0	facultative_anaerobe
EF694029.1.1433	positive	coccus-shaped	no					6.5	6.5	6.5			facultative_anaerobe
EF660755.1.1344	negative	rod-shaped	no					2.5	0.0	5.0			aerobe
EF687715.1.1462	positive	rod-shaped		7.0	7.0	7.0	13.0	14.0	6.0	22.0	5.0	8.0	aerobe
EF680886.1.1412	positive	rod-shaped	no	9.5	9.0	10.0		5.0	0.0	10.0	8.0	12.0	aerobe
AM501431.1.1345	negative	rod-shaped	yes					2.0	0.0	4.0			
GU358699.1.1377	negative	rod-shaped	no	7.5	7.5	7.5		2.0	0.0	4.0	6.0	10.0	aerobe
JX041639.1.1315													anaerobe
AY514996.1.1307													anaerobe
AY533299.1.1239													anaerobe
AB200414.1.1491	negative	coccus-shaped	no										anaerobe
EU086805.1.1452													
AM886059.1.1431	positive	ovoid-shaped	yes										anaerobe
EU024145.1.1318													
EU024144.1.1316	negative	rod-shaped	yes					2.0	0.0	4.0			aerobe
EU024165.1.1315	negative	rod-shaped	yes					1.0	0.0	2.0			
EU024163.1.1315	negative	rod-shaped	yes					2.0	0.0	4.0			
AB222699.1.1485	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AB214328.1.1484	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
