FPR,TPR
0.0,0.0
0.0,0.015625
0.0,0.109375
0.018867924528301886,0.109375
0.018867924528301886,0.21875
0.03773584905660377,0.21875
0.03773584905660377,0.3125
0.05660377358490566,0.3125
0.05660377358490566,0.34375
0.07547169811320754,0.34375
0.07547169811320754,0.421875
0.09433962264150944,0.421875
0.09433962264150944,0.4375
0.11320754716981132,0.4375
0.11320754716981132,0.53125
0.18867924528301888,0.53125
0.18867924528301888,0.59375
0.22641509433962265,0.59375
0.22641509433962265,0.625
0.2641509433962264,0.625
0.2641509433962264,0.65625
0.3584905660377358,0.65625
0.3584905660377358,0.6875
0.37735849056603776,0.6875
0.37735849056603776,0.75
0.41509433962264153,0.75
0.41509433962264153,0.796875
0.4339622641509434,0.796875
0.4339622641509434,0.8125
0.4528301886792453,0.8125
0.4528301886792453,0.84375
0.49056603773584906,0.84375
0.49056603773584906,0.875
0.5660377358490566,0.875
0.5660377358490566,0.90625
0.6226415094339622,0.90625
0.6226415094339622,0.921875
0.6415094339622641,0.921875
0.6415094339622641,0.9375
0.660377358490566,0.9375
0.660377358490566,0.953125
0.7358490566037735,0.953125
0.7358490566037735,0.96875
0.8301886792452831,0.96875
0.8301886792452831,0.984375
0.8679245283018868,0.984375
0.8679245283018868,1.0
1.0,1.0
