study,test_study,auc,f1,mcc,acc,confusion_matrix_x,disease,AUC ROC,Average Precision,F1 value,mcc value,aupr value,acc value,tn,fp,fn,tp,confusion_matrix_y
PRJNA668251,PRJNA668251,0.9591836734693876,0.3333333333333333,0.0,0.5,"[[7 0]
 [7 0]]",PRJNA668251,0.9388,0.9379,0.8571,0.7143,0.9326,0.8571,6,1,1,6,"[[6, 1], [1, 6]]"
PRJEB6070,PRJEB6070,0.7809756097560976,0.6093434343434343,0.3565642758932518,0.6263736263736264,"[[19 31]
 [ 3 38]]",PRJEB6070,0.7863,0.7707,0.6226,0.3742,0.7709,0.6374,20,30,3,38,"[[20, 30], [3, 38]]"
qiita_1629,qiita_1629,0.9420523138833,0.0906095551894563,0.0,0.0996376811594202,"[[ 55   0]
 [497   0]]",qiita_1629,0.8358,0.9784,0.5402,0.1985,0.9787,0.904,4,51,2,495,"[[4, 51], [2, 495]]"
PRJNA807473,PRJNA807473,0.8688575899843505,0.7492622950819672,0.5246094104346658,0.7639751552795031,"[[42 29]
 [ 9 81]]",PRJNA807473,0.6297,0.6645,0.5435,0.2503,0.6601,0.6273,16,55,5,85,"[[16, 55], [5, 85]]"
PRJNA788301,PRJNA788301,0.6630769230769231,0.6222222222222222,0.2567645608378097,0.6274509803921569,"[[19  7]
 [12 13]]",PRJNA788301,0.55,0.5549,0.36,,0.5321,0.4902,1,25,1,24,"[[1, 25], [1, 24]]"
PRJNA450340,PRJNA450340,0.908749329039184,0.8046153846153846,0.6246220855141935,0.8110236220472441,"[[40  6]
 [18 63]]",PRJNA450340,0.8929,0.9399,0.8242,0.6529,0.9411,0.8425,33,13,7,74,"[[33, 13], [7, 74]]"
PRJNA734860,PRJNA734860,0.6257210401891253,0.5014617633482074,0.1080647933478212,0.6527777777777778,"[[130  11]
 [ 64  11]]",PRJNA734860,0.5017,0.3642,0.2552,,0.3545,0.3426,0,141,1,74,"[[0, 141], [1, 74]]"
PRJNA850658,PRJNA850658,0.6046620046620047,0.3844628099173553,0.1688624167399101,0.4183673469387755,"[[32  1]
 [56  9]]",PRJNA850658,0.5709,0.7394,0.4556,0.1241,0.7375,0.6735,2,31,1,64,"[[2, 31], [1, 64]]"
PRJDB7456,PRJDB7456,0.7565656565656566,0.6485801217038539,0.2984810028978546,0.6507936507936508,"[[18 12]
 [10 23]]",PRJDB7456,0.596,0.6385,0.4361,0.1427,0.6289,0.5556,3,27,1,32,"[[3, 27], [1, 32]]"
PRJEB30615,PRJEB30615,0.7829677419354838,0.3780487804878048,0.0,0.6078431372549019,"[[  0 100]
 [  0 155]]",PRJEB30615,0.6426,0.7142,0.4284,0.1403,0.7119,0.6235,5,95,1,154,"[[5, 95], [1, 154]]"
PRJNA594156,PRJNA594156,0.7061631944444444,0.3764102564102564,0.11562432251572,0.40625,"[[ 90   6]
 [165  27]]",PRJNA594156,0.691,0.8084,0.3987,,0.8085,0.6632,0,96,1,191,"[[0, 96], [1, 191]]"
PRJCA000673,PRJCA000673,0.6898584905660378,0.6365384615384616,0.3301118689539332,0.6410256410256411,"[[44  9]
 [33 31]]",PRJCA000673,0.5952,0.6247,0.4269,0.1473,0.613,0.5726,4,49,1,63,"[[4, 49], [1, 63]]"
PRJEB11419,PRJEB11419,0.5807865808259974,0.448376600284495,0.0741072459598477,0.5491259795057264,"[[810  75]
 [673 101]]",PRJEB11419,0.5677,0.5258,0.3238,0.0236,0.5249,0.4684,5,880,2,772,"[[5, 880], [2, 772]]"
PRJEB23500,PRJEB23500,0.7263593380614659,0.3136123928806856,0.1056342486693015,0.4117647058823529,"[[47  0]
 [70  2]]",PRJEB23500,0.5658,0.6422,0.434,0.0878,0.6347,0.6134,3,44,2,70,"[[3, 44], [2, 70]]"
PRJEB28687,PRJEB28687,0.6408379740121983,0.4924501424501425,0.0506683157083074,0.8074656188605108,"[[406  13]
 [ 85   5]]",PRJEB28687,0.5474,0.2164,0.471,0.1054,0.2129,0.5128,202,217,31,59,"[[202, 217], [31, 59]]"
RISK_PRISM_f,RISK_PRISM_f,0.599501661129568,0.0597269624573378,0.0,0.0635208711433756,"[[ 35   0]
 [516   0]]",RISK_PRISM_f,0.6244,0.9576,0.4831,,0.9578,0.9347,0,35,1,515,"[[0, 35], [1, 515]]"
PRJNA430990,PRJNA430990,0.6803610333022098,0.4393241167434715,0.1517453611000105,0.4520547945205479,"[[44 75]
 [ 5 22]]",PRJNA430990,0.7152,0.4471,0.643,0.3115,0.4457,0.7397,92,27,11,16,"[[92, 27], [11, 16]]"
