study_id	num_ASV	num_samples	density_percent
PRJNA497734	9537	2195	0.7482
PRJNA675093	704	69	10.1326
PRJNA326866	9039	43	5.1210
PRJEB28088	35937	567	0.8174
PRJNA530088	2169	56	3.4339
PRJNA307992	5189	230	1.2059
PRJNA491657	23131	3105	0.3969
PRJNA715036	4563	262	3.6196
PRJNA642894	2288	325	3.6846
PRJEB23775	5076	170	4.5245
PRJEB32244	1217	117	5.8874
PRJNA493204	6417	64	3.2012
PRJEB37289	1310	62	5.5676
PRJNA399742	2157	130	6.0080
PRJNA324147	3698	90	7.3352
PRJNA701121	2020	54	8.1454
PRJEB18768	4214	201	8.8268
PRJNA353587	3439	83	2.9765
PRJEB21497	988	35	6.0411
PRJNA736821	6731	79	3.3518
PRJNA904661	2770	142	4.5881
PRJNA392012	5637	350	3.5598
PRJNA616703	1729	303	1.8521
PRJNA687360	1396	56	6.0863
PRJNA381333	10396	184	2.4102
PRJEB30327	1896	178	2.2712
PRJNA388132	3208	74	1.9584
PRJNA507734	4674	58	2.5261
PRJNA350839	2315	22	14.3511
PRJDB10485	13901	109	5.2516
PRJNA398089	6200	176	2.0362
PRJNA529323	1323	25	11.5616
PRJEB28700	6609	56	4.6411
PRJNA598280	6512	424	0.9169
PRJEB4335	1481	58	8.9839
PRJEB26012	12621	599	1.4943
PRJNA428477	1911	131	3.3538
PRJNA579560	451	96	32.7698
PRJNA529487	3141	263	5.5137
PRJEB13940	9672	847	1.7616
PRJEB33268	1408	288	5.2833
PRJNA413199	5517	454	2.7892
PRJNA324452	2017	168	3.3350
PRJNA530790	5031	440	2.3552
PRJNA290926	7155	251	2.8916
PRJEB14943	3598	92	5.3647
PRJNA400325	7045	61	4.0829
PRJEB32537	2518	60	10.5600
PRJNA604280	1911	269	3.8745
PRJEB38948	57749	3065	0.2348
PRJNA418765	9779	1502	0.8421
PRJEB34323	15032	179	1.6574
PRJNA807457	3714	40	6.7091
PRJNA422961	6227	139	3.9257
PRJNA302832	2485	34	8.8969
PRJEB26800	8880	83	2.5725
PRJNA720101	1371	101	8.0862
PRJNA308315	1574	80	8.6150
PRJNA491813	2857	115	4.6908
PRJDB11894	24247	332	0.9786
PRJNA485316	3520	876	1.6944
PRJNA394608	2092	59	9.5068
PRJNA535518	2369	100	6.6830
PRJNA414540	5156	276	2.3860
PRJNA716437	3921	98	7.6136
PRJNA631283	603	130	8.8838
PRJNA766337	11289	497	1.9143
PRJNA758252	33296	1350	0.7453
PRJNA317290	1229	78	4.4241
PRJNA683912	14473	386	1.2822
PRJEB16344	19876	571	1.0883
PRJNA434243	927	120	8.6453
PRJNA1068750	2043	88	6.5234
PRJNA298590	1297	271	4.4867
PRJNA662100	1561	71	7.1911
PRJNA832909	5246	277	2.8098
PRJNA450025	10823	311	1.5427
PRJEB31199	1865	85	9.0825
PRJNA369241	2715	54	7.0848
PRJNA932561	6484	80	5.2063
PRJDB6499	2648	178	6.8659
PRJNA639425	1191	19	11.3527
PRJNA381395	12256	117	4.2258
PRJEB59916	1768	40	8.6793
PRJNA743182	3127	29	8.4525
PRJNA1000711	5723	67	2.1445
PRJNA328987	11166	231	1.7783
PRJEB32763	4384	134	6.3334
PRJNA397396	2328	64	9.0220
PRJEB13679	3354	280	3.3365
PRJEB23239	1594	192	3.9742
PRJEB22676	4459	72	4.3956
PRJEB30401	8544	115	2.9438
PRJNA626610	2644	27	9.2649
PRJNA559143	7405	865	1.6120
PRJNA509882	1433	161	7.3151
PRJNA544527	2783	1168	3.9821
PRJEB39382	10447	258	1.9328
PRJNA481413	16092	445	1.0061
PRJNA879337	2676	21	13.4476
PRJNA493535	1552	52	8.8831
PRJNA317429	2189	82	6.7193
PRJNA685914	20520	1683	0.6463
PRJNA480547	7598	434	2.8739
PRJNA545312	47896	3690	0.1268
PRJNA240307	5234	633	1.2629
PRJNA760529	18638	168	1.5622
PRJNA311147	693	92	6.2159
PRJEB39437	3414	309	2.4203
PRJNA313074	1053	40	5.5223
PRJNA362366	1485	67	6.7511
PRJNA297510	1532	64	4.5835
PRJNA824020	6358	59	1.7290
PRJNA420339	3792	189	2.9311
PRJEB27304	2471	279	7.9178
PRJEB37877	7118	726	1.9920
PRJNA505353	1226	323	9.1298
PRJNA658988	10501	96	2.9245
PRJNA375065	6400	30	6.7583
PRJNA764337	4109	106	3.4400
PRJNA668251	1193	14	25.1227
PRJNA589488	1030	184	3.7890
PRJNA521398	13924	156	3.3521
PRJNA743980	7227	40	4.1795
PRJEB27978	1229	50	15.5736
PRJNA400445	1628	68	8.3114
PRJNA313391	24339	120	2.6022
PRJNA700829	4005	57	5.5001
PRJNA657941	22338	250	1.6630
PRJEB13895	4765	935	4.1682
PRJNA601994	63019	840	1.0925
PRJNA637490	14471	398	1.5286
PRJNA387407	3411	153	6.6741
PRJEB32880	7735	646	1.9279
PRJNA559803	907	246	3.6814
PRJNA491853	1829	317	4.0240
PRJEB37553	7708	558	1.5578
PRJEB29433	6911	3122	1.3860
PRJNA683649	2448	360	3.6259
PRJDB8027	671	73	3.3236
PRJNA328258	1670	84	6.5419
PRJEB6070	4004	90	8.9177
PRJNA663708	2023	32	11.3693
PRJNA650259	1554	74	4.4732
