sample_id	project	instrument	geo_loc_name	region	seq_region	sample_type
10532.103e4419.d712.46e0.95db.3b7bdab449a7	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.104e5902.1c3e.417f.bb22.124bfca61a61	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.10d8aff9.6fa1.4788.ac34.075f71d7e3c6	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.112c4226.3f1f.4a90.bd62.bd09a8a0b791	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1179fc32.1721.4500.9ebb.2711571cec96	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1193c5d0.fb53.406a.9626.bcdd00a82103	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.11c4be47.fdce.4135.8acf.0894f2da5ede	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.11c70d46.e0a4.4797.ad7b.3677fe93d73b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.11d9c298.6eab.4b6b.9665.1dba120f03b2	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.11f3f37a.3698.4031.8183.75f6f2c6c04c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1230c3fd.efa4.4ad9.8f01.499141965b11	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.124dc1db.9029.41c6.afff.b73a692e19b1	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.12e944d7.69e9.44f6.8c3d.a9e40d1a21a4	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1302d53f.3364.4f3d.bbc4.50e9f9065ae7	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.14c94c5e.aaf2.414f.a72f.74ccc134b294	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.15129220.6eda.44ad.9511.be0f6e027f5d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1527a35e.aff8.4404.a7b5.93297cc857bb	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.15d8ed7d.7d90.4fee.9874.a30e5a6e2ec8	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1654ccec.557a.40f3.b4d9.b263f9e2ad4e	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1709339c.5162.4847.bab8.d492c164537a	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.17f96e8a.dc68.4aef.98db.8aaaab702e33	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.180f9254.809c.4c9d.b741.e87498d4c2c9	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.183645ce.cacd.4744.8440.de4eb377dfea	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.18b7bc36.8427.431c.a28c.9a4d0b19f83d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.18f853f2.0e63.400e.baac.cad966c6c0a0	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1a3cebf2.a600.4fdd.901f.739e27cb4a6c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1a809fb5.eac0.4b28.bdf5.e731c86aefbd	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1a8d256c.9a6f.4c7d.8abd.c351d01866c5	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1b1720db.15b5.479e.9641.ecf97ed72ca4	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1bf8a3f7.4718.473a.a4bf.3b0e18e64bd4	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1c4ca381.9cc3.4313.a11e.df350bb73ec9	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1c63c66a.65e6.4d7e.a9af.34ae133db4ed	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1d3c1d57.9c6a.40a4.a6a3.b0cc321e354f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1e8adbe1.044e.4b21.af0e.a335e0bc4887	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1ed80b53.bd2a.49e4.ad5b.0f4ec6228e81	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1fe19636.3708.4a87.8e5a.cf10d8530d4e	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.1fe57dd4.58b3.4fde.b8a1.f73db5614909	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.20aa4aaf.8242.48d9.a225.e9f6b3e8938c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.212f0ce6.9123.4e38.abf3.db944de7f1c1	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2150ea11.62a6.494e.9c83.3583cce1fb94	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.215cb690.74cc.469d.b692.681e0cf530e5	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.21a4ec1a.bcae.4e10.be82.66328d2dad4f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2204f8a2.6d8f.4096.9407.077cad04f686	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.22cd99a9.2745.44ba.823e.6cdf1048d579	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.230994e3.5682.432f.b4e4.454ca1901e0f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.233fcfbc.5afa.47ac.a735.968ca156ce3f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.23796d38.9519.4a3a.9149.55190285af7b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
