project,instrument,geo_loc_name,region,seq_region,sample_type,shannon,read_depth
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.815827018274444,29443.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.4105113105118496,35348.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.247372385567147,30309.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.082522718356604,81560.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.71191319184885,10829.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.3671595106911014,39235.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.311941844983842,84554.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.0616499454740005,28924.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.8339242998033263,64849.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.4394307782963507,50762.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.4797730899278214,68666.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.418033927296265,37986.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.6395832993758046,15734.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.595139869319974,33353.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.583075313743935,37049.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.1762024357798588,57702.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.3050755928689792,21632.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.4229919894703076,28417.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.4447031258951095,16739.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.218428561358481,18796.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.8582413282667887,34809.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.422393905036042,9805.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.558851595006695,30943.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.18086166730218,53495.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.6838590768506547,14914.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.284916723376428,43058.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.313317502396917,62758.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5632450786401204,13126.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.2540088682821273,33126.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.0660541459465946,26626.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.54156314451247,33510.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.272794503867015,16679.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.186238132218522,35466.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.27024547524544,27020.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.945519510994705,29504.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.6006665778686813,39180.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.8177456094069893,19277.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.0946847639545356,59885.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.848170128539587,62520.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,0.8606037142542935,10820.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.5636012691560524,41888.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9975412177479703,46790.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9044542134251015,55638.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.6185035291631094,13358.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.1562325427390547,68180.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.015007906665057,12701.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.5523389659792473,21435.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.7068001145485325,13208.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7106141560650943,17808.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.72036073507424,35847.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.825029694477358,47290.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.923070263136351,52423.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.966415260720046,30563.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.003830979921939,28722.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.6904124910167952,40811.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.3455568077141495,64228.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.6352122639620994,36653.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9874063769091626,20147.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.939571278083222,14116.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.647445125456573,26478.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.2885704193640204,57167.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.207446919506974,24284.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5428590717777038,15580.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.6919085580604087,10613.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.7948557436601986,75424.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7287665177029052,10569.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.045524336266586,23333.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.671897686797618,43503.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.8385660903592838,35388.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.080016354459836,35802.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.603297792068589,53690.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.501908426867076,72025.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.2944630278732268,16419.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.9179607611466223,10377.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.2256344954580705,38352.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.800645097474674,35655.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.8533873432233534,26536.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.166462062799116,22255.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.259273408677023,32730.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.8721737770131037,42800.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5179409557618113,74487.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.1670310973302316,47221.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9509577280309576,26323.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.565805003017936,10255.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.121856109258122,39641.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.326001292804127,41918.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9720141424138724,19852.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.863881038125614,34717.0
