FPR,TPR
0.0,0.0
0.0,0.019230769230769232
0.0,0.09615384615384616
0.0,0.15384615384615385
0.06666666666666667,0.15384615384615385
0.06666666666666667,0.19230769230769232
0.06666666666666667,0.3269230769230769
0.13333333333333333,0.3269230769230769
0.13333333333333333,0.34615384615384615
0.2,0.36538461538461536
0.2,0.4230769230769231
0.2,0.46153846153846156
0.26666666666666666,0.4807692307692308
0.26666666666666666,0.5384615384615384
0.3333333333333333,0.5384615384615384
0.3333333333333333,0.5769230769230769
0.3333333333333333,0.6153846153846154
0.4,0.6346153846153846
0.4666666666666667,0.6730769230769231
0.5333333333333333,0.6730769230769231
0.5333333333333333,0.7115384615384616
0.5333333333333333,0.75
0.5333333333333333,0.8461538461538461
0.7333333333333333,0.9038461538461539
0.7333333333333333,0.9423076923076923
0.8,0.9615384615384616
0.9333333333333333,0.9615384615384616
0.9333333333333333,0.9807692307692307
1.0,0.9807692307692307
1.0,1.0
