terms,level_1,level_2,level_3,type,Number
metabolite_utilization.arginine.hydrolysis,metabolite_utilization,hydrolysis,arginine,1,33
metabolite_utilization.melibiose.builds_acid_from,metabolite_utilization,builds_acid_from,melibiose,1,32
metabolite_utilization.arabinose.carbon_source,metabolite_utilization,carbon_source,arabinose,1,31
metabolite_utilization.N-acetylglucosamine.builds_acid_from,metabolite_utilization,builds_acid_from,N-acetylglucosamine,1,30
metabolite_utilization.L-glutamate.degradation,metabolite_utilization,degradation,L-glutamate,1,29
metabolite_utilization.tryptophan.energy_source,metabolite_utilization,energy_source,tryptophan,1,29
metabolite_utilization.D-mannitol.builds_acid_from,metabolite_utilization,builds_acid_from,D-mannitol,1,28
metabolite_utilization.hippurate.hydrolysis,metabolite_utilization,hydrolysis,hippurate,1,28
metabolite_utilization.turanose.builds_acid_from,metabolite_utilization,builds_acid_from,turanose,1,28
metabolite_utilization.arbutin.builds_acid_from,metabolite_utilization,builds_acid_from,arbutin,1,27
metabolite_utilization.L-rhamnose.builds_acid_from,metabolite_utilization,builds_acid_from,L-rhamnose,1,27
metabolite_utilization.salicin.carbon_source,metabolite_utilization,carbon_source,salicin,1,27
metabolite_utilization.trehalose.carbon_source,metabolite_utilization,carbon_source,trehalose,1,27
metabolite_utilization.fructose.carbon_source,metabolite_utilization,carbon_source,fructose,1,24
metabolite_utilization.gentiobiose.builds_acid_from,metabolite_utilization,builds_acid_from,gentiobiose,1,23
metabolite_utilization.xylose.carbon_source,metabolite_utilization,carbon_source,xylose,1,23
metabolite_utilization.amygdalin.builds_acid_from,metabolite_utilization,builds_acid_from,amygdalin,1,22
metabolite_utilization.glycerol.builds_acid_from,metabolite_utilization,builds_acid_from,glycerol,1,21
metabolite_utilization.mannitol.carbon_source,metabolite_utilization,carbon_source,mannitol,1,21
metabolite_utilization.starch.builds_acid_from,metabolite_utilization,builds_acid_from,starch,1,21
metabolite_utilization.glycogen.builds_acid_from,metabolite_utilization,builds_acid_from,glycogen,1,20
metabolite_utilization.N-acetylglucosamine.carbon_source,metabolite_utilization,carbon_source,N-acetylglucosamine,1,20
metabolite_utilization.ribose.carbon_source,metabolite_utilization,carbon_source,ribose,1,20
metabolite_utilization.galactose.carbon_source,metabolite_utilization,carbon_source,galactose,1,19
metabolite_utilization.melezitose.builds_acid_from,metabolite_utilization,builds_acid_from,melezitose,1,19
metabolite_production.indole.,metabolite_production,,indole,1,18
metabolite_utilization.methyl_alpha-D-glucopyranoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_alpha-D-glucopyranoside,1,18
metabolite_utilization.sucrose.fermentation,metabolite_utilization,fermentation,sucrose,1,18
metabolite_utilization.D-glucose.fermentation,metabolite_utilization,fermentation,D-glucose,1,17
metabolite_utilization.succinate.carbon_source,metabolite_utilization,carbon_source,succinate,1,17
metabolite_utilization.D-glucose.assimilation,metabolite_utilization,assimilation,D-glucose,1,16
metabolite_utilization.rhamnose.carbon_source,metabolite_utilization,carbon_source,rhamnose,1,16
metabolite_utilization.gelatin.hydrolysis,metabolite_utilization,hydrolysis,gelatin,1,15
metabolite_utilization.lactose.fermentation,metabolite_utilization,fermentation,lactose,1,15
metabolite_utilization.melibiose.carbon_source,metabolite_utilization,carbon_source,melibiose,1,15
metabolite_utilization.acetate.carbon_source,metabolite_utilization,carbon_source,acetate,1,14
metabolite_utilization.lactate.carbon_source,metabolite_utilization,carbon_source,lactate,1,14
metabolite_utilization.urea.hydrolysis,metabolite_utilization,hydrolysis,urea,1,14
metabolite_utilization.nitrite.reduction,metabolite_utilization,reduction,nitrite,1,13
metabolite_utilization.malate.assimilation,metabolite_utilization,assimilation,malate,1,12
metabolite_utilization.maltose.fermentation,metabolite_utilization,fermentation,maltose,1,12
metabolite_production.acetoin.,metabolite_production,,acetoin,1,11
metabolite_utilization.D-sorbitol.builds_acid_from,metabolite_utilization,builds_acid_from,D-sorbitol,1,11
metabolite_utilization.maltose.assimilation,metabolite_utilization,assimilation,maltose,1,11
