auc,embedding,traits_type,group,tax,datasize
0.895196608946609,social_niche,Oxygen_Preference,times_2,Actinomycetota,"210,000"
0.8068181818181819,social_niche,Gram_Status,times_2,Bacillota,"210,000"
0.8666666666666667,social_niche,Gram_Status,times_2,Actinomycetota,"210,000"
0.6416083916083916,social_niche,Motility,times_2,Bacillota,"210,000"
0.6984126984126984,social_niche,Motility,times_2,Actinomycetota,"210,000"
0.6212624584717608,social_niche,Spore_Formation,times_2,Bacillota,"210,000"
0.5255802637245385,dnabert2,Oxygen_Preference,times_2,Bacillota,"210,000"
0.6878783369408369,dnabert2,Oxygen_Preference,times_2,Actinomycetota,"210,000"
0.41903409090909094,dnabert2,Gram_Status,times_2,Bacillota,"210,000"
0.4897435897435897,dnabert2,Gram_Status,times_2,Actinomycetota,"210,000"
0.5472027972027972,dnabert2,Motility,times_2,Bacillota,"210,000"
0.6666666666666666,dnabert2,Motility,times_2,Actinomycetota,"210,000"
0.48172757475083056,dnabert2,Spore_Formation,times_2,Bacillota,"210,000"
0.5624538474010573,phylo_pca,Oxygen_Preference,times_2,Bacillota,"210,000"
0.5079982864357865,phylo_pca,Oxygen_Preference,times_2,Actinomycetota,"210,000"
0.5610795454545454,phylo_pca,Gram_Status,times_2,Bacillota,"210,000"
0.7282051282051282,phylo_pca,Gram_Status,times_2,Actinomycetota,"210,000"
0.5052447552447552,phylo_pca,Motility,times_2,Bacillota,"210,000"
0.5357142857142857,phylo_pca,Motility,times_2,Actinomycetota,"210,000"
0.49335548172757476,phylo_pca,Spore_Formation,times_2,Bacillota,"210,000"
0.6733333333333333,social_niche,Gram_Status,times_3,Bacillota,"40,000"
0.84375,social_niche,Gram_Status,times_3,Actinomycetota,"40,000"
0.7870370370370371,social_niche,Motility,times_3,Bacillota,"40,000"
0.7286426591174178,social_niche,Oxygen_Preference,times_3,Bacillota,"80,000"
0.8205288572136397,social_niche,Oxygen_Preference,times_3,Actinomycetota,"80,000"
0.6354166666666666,social_niche,Gram_Status,times_3,Bacillota,"80,000"
0.7375,social_niche,Gram_Status,times_3,Actinomycetota,"80,000"
0.43749999999999994,social_niche,Motility,times_3,Bacillota,"80,000"
0.7750517567755614,social_niche,Oxygen_Preference,times_3,Bacillota,"160,000"
0.8776304713804715,social_niche,Oxygen_Preference,times_3,Actinomycetota,"160,000"
0.7517006802721088,social_niche,Gram_Status,times_3,Bacillota,"160,000"
0.9226190476190477,social_niche,Gram_Status,times_3,Actinomycetota,"160,000"
0.5533596837944664,social_niche,Motility,times_3,Bacillota,"160,000"
0.6798245614035088,social_niche,Motility,times_3,Actinomycetota,"160,000"
0.6672473867595818,social_niche,Spore_Formation,times_3,Bacillota,"160,000"
0.81228307761999,social_niche,Oxygen_Preference,times_3,Bacillota,"210,000"
0.895196608946609,social_niche,Oxygen_Preference,times_3,Actinomycetota,"210,000"
0.8068181818181819,social_niche,Gram_Status,times_3,Bacillota,"210,000"
0.8666666666666667,social_niche,Gram_Status,times_3,Actinomycetota,"210,000"
0.6416083916083916,social_niche,Motility,times_3,Bacillota,"210,000"
0.6984126984126984,social_niche,Motility,times_3,Actinomycetota,"210,000"
0.6212624584717608,social_niche,Spore_Formation,times_3,Bacillota,"210,000"
0.5255802637245385,dnabert2,Oxygen_Preference,times_3,Bacillota,"210,000"
0.6878783369408369,dnabert2,Oxygen_Preference,times_3,Actinomycetota,"210,000"
0.41903409090909094,dnabert2,Gram_Status,times_3,Bacillota,"210,000"
0.4897435897435897,dnabert2,Gram_Status,times_3,Actinomycetota,"210,000"
0.5472027972027972,dnabert2,Motility,times_3,Bacillota,"210,000"
0.6666666666666666,dnabert2,Motility,times_3,Actinomycetota,"210,000"
0.48172757475083056,dnabert2,Spore_Formation,times_3,Bacillota,"210,000"
0.5624538474010573,phylo_pca,Oxygen_Preference,times_3,Bacillota,"210,000"
0.5079982864357865,phylo_pca,Oxygen_Preference,times_3,Actinomycetota,"210,000"
0.5610795454545454,phylo_pca,Gram_Status,times_3,Bacillota,"210,000"
0.7282051282051282,phylo_pca,Gram_Status,times_3,Actinomycetota,"210,000"
0.5052447552447552,phylo_pca,Motility,times_3,Bacillota,"210,000"
0.5357142857142857,phylo_pca,Motility,times_3,Actinomycetota,"210,000"
0.49335548172757476,phylo_pca,Spore_Formation,times_3,Bacillota,"210,000"
0.8773538961038961,social_niche,Oxygen_Preference,times_4,Actinomycetota,"20,000"
0.7619047619047619,social_niche,Gram_Status,times_4,Actinomycetota,"20,000"
0.8688365132809577,social_niche,Oxygen_Preference,times_4,Actinomycetota,"40,000"
0.8571428571428571,social_niche,Gram_Status,times_4,Bacillota,"40,000"
0.8181818181818182,social_niche,Gram_Status,times_4,Actinomycetota,"40,000"
0.8460183376375854,social_niche,Oxygen_Preference,times_4,Actinomycetota,"80,000"
0.663888888888889,social_niche,Gram_Status,times_4,Bacillota,"80,000"
0.7833333333333333,social_niche,Gram_Status,times_4,Actinomycetota,"80,000"
0.7482993197278911,social_niche,Motility,times_4,Bacillota,"80,000"
0.8171223150333796,social_niche,Oxygen_Preference,times_4,Bacillota,"160,000"
0.836604195701418,social_niche,Oxygen_Preference,times_4,Actinomycetota,"160,000"
0.7912280701754386,social_niche,Gram_Status,times_4,Bacillota,"160,000"
0.7642857142857143,social_niche,Gram_Status,times_4,Actinomycetota,"160,000"
0.6239130434782608,social_niche,Motility,times_4,Bacillota,"160,000"
0.5452961672473867,social_niche,Spore_Formation,times_4,Bacillota,"160,000"
0.81228307761999,social_niche,Oxygen_Preference,times_4,Bacillota,"210,000"
0.895196608946609,social_niche,Oxygen_Preference,times_4,Actinomycetota,"210,000"
0.8068181818181819,social_niche,Gram_Status,times_4,Bacillota,"210,000"
0.8666666666666667,social_niche,Gram_Status,times_4,Actinomycetota,"210,000"
0.6416083916083916,social_niche,Motility,times_4,Bacillota,"210,000"
0.6984126984126984,social_niche,Motility,times_4,Actinomycetota,"210,000"
0.6212624584717608,social_niche,Spore_Formation,times_4,Bacillota,"210,000"
0.5255802637245385,dnabert2,Oxygen_Preference,times_4,Bacillota,"210,000"
0.6878783369408369,dnabert2,Oxygen_Preference,times_4,Actinomycetota,"210,000"
0.41903409090909094,dnabert2,Gram_Status,times_4,Bacillota,"210,000"
0.4897435897435897,dnabert2,Gram_Status,times_4,Actinomycetota,"210,000"
0.5472027972027972,dnabert2,Motility,times_4,Bacillota,"210,000"
0.6666666666666666,dnabert2,Motility,times_4,Actinomycetota,"210,000"
0.48172757475083056,dnabert2,Spore_Formation,times_4,Bacillota,"210,000"
0.5624538474010573,phylo_pca,Oxygen_Preference,times_4,Bacillota,"210,000"
0.5079982864357865,phylo_pca,Oxygen_Preference,times_4,Actinomycetota,"210,000"
0.5610795454545454,phylo_pca,Gram_Status,times_4,Bacillota,"210,000"
0.7282051282051282,phylo_pca,Gram_Status,times_4,Actinomycetota,"210,000"
0.5052447552447552,phylo_pca,Motility,times_4,Bacillota,"210,000"
0.5357142857142857,phylo_pca,Motility,times_4,Actinomycetota,"210,000"
0.49335548172757476,phylo_pca,Spore_Formation,times_4,Bacillota,"210,000"
0.9183673469387755,social_niche,Gram_Status,times_5,Bacillota,"20,000"
0.7323232323232324,social_niche,Gram_Status,times_5,Bacillota,"40,000"
0.888888888888889,social_niche,Gram_Status,times_5,Actinomycetota,"40,000"
0.5535714285714286,social_niche,Motility,times_5,Bacillota,"40,000"
0.8325521294819541,social_niche,Oxygen_Preference,times_5,Actinomycetota,"80,000"
0.7464114832535885,social_niche,Gram_Status,times_5,Bacillota,"80,000"
0.7692307692307693,social_niche,Gram_Status,times_5,Actinomycetota,"80,000"
