"source","trait","q2","r2y","pQ2_phylo","pR2Y_phylo","z_q2","z_r2y","q2_null_mean","r2y_null_mean","gap_obs","gap_null_mean","n_taxa","n_sim","n_sim_ok","class_n","pQ2_phylo_fdr","pR2Y_phylo_fdr"
"traitar","Raffinose",0.163,0.227,0.013,0.035,2.38238672960098,2.18756198065721,0.0347853925925926,0.140594994994995,0.064,0.105809602402402,1112,999,999,"0:772; 1:340",0.04095,0.07875
"bacdive","enzymes.Alanyl.Phenylalanyl.Proline_arylamidase",0.293,0.891,0.014,0.086,1.6359949481378,1.3511498808932,-0.565925356356356,0.818851851851852,0.598,1.38477720820821,27,999,999,"no:8; yes:19",0.25725,0.486230769230769
"traitar","Yellow.pigment",0.0701,0.174,0.015,0.019,2.35898983415739,2.79795433195025,-0.0271953792792793,0.0974243243243243,0.1039,0.124619703603604,1112,999,999,"0:1070; 1:42",0.045,0.0520434782608696
"traitar","Coagulase.production",0.144,0.251,0.016,0.007,2.40598059388091,3.26850179838656,0.0209334333333333,0.129873973973974,0.107,0.108940540640641,1112,999,999,"0:923; 1:189",0.0458181818181818,0.0275625
"bacdive","enzymes.glutamyl.glutamate_arylamidase",0.149,0.469,0.019,0.054,1.8818543524103,1.67322440698543,-0.168816972142142,0.376544544544545,0.32,0.545361516686687,150,999,999,"no:116; yes:34",0.294,0.399
"bacdive","metabolite_utilization.L.glutamate.degradation",0.171,0.503,0.02,0.018,1.95412042840753,2.56931203649407,-0.14437298998999,0.352993993993994,0.332,0.497366983983984,163,999,999,"no:134; yes:29",0.294,0.2205
"traitar","Mucate.utilization",0.107,0.206,0.021,0.013,2.23293077248211,2.7581925465612,0.00239745735735736,0.116613213213213,0.099,0.114215755855856,1112,999,999,"0:1002; 1:110",0.0575217391304348,0.039
"traitar","Melibiose",0.137,0.221,0.024,0.024,2.25208390296562,2.49313314572273,0.0219620655455455,0.12961041041041,0.084,0.107648344864865,1112,999,999,"0:925; 1:187",0.06048,0.063
"traitar","Methyl.red",0.0671,0.238,0.024,0.001,2.10317581199741,5.17138720884408,-0.0216984954954955,0.100192392392392,0.1709,0.121890887887888,1112,999,999,"0:1065; 1:47",0.06048,0.00484615384615385
"bacdive","enzymes.leucine_arylamidase",0.106,0.403,0.025,0.047,1.96272124415448,1.98094182897668,-0.120741921121121,0.297202202202202,0.297,0.417944123323323,268,999,999,"no:130; yes:138",0.294,0.399
"bacdive","metabolite_utilization.N.acetylglucosamine.builds_acid_from",0.106,0.723,0.026,0.124,1.61760608029514,1.17002835582614,-0.385205618618619,0.656676676676677,0.617,1.0418822952953,69,999,999,"no:42; yes:27",0.294,0.541390243902439
"traitar","Nitrate.to.nitrite",0.141,0.223,0.031,0.03,2.16810275609701,2.2901804696619,0.028089956956957,0.134255155155155,0.082,0.106165198198198,1112,999,999,"0:914; 1:198",0.0751153846153846,0.07
"bacdive","metabolite_utilization.esculin.builds_acid_from",0.115,0.696,0.031,0.216,1.51708856421171,0.853438828757027,-0.414154115115115,0.647770770770771,0.581,1.06192488588589,68,999,999,"no:21; yes:47",0.294,0.588
"bacdive","metabolite_utilization.L.arabitol.builds_acid_from",0.0533,0.587,0.033,0.388,1.92721568996515,0.364213979394578,-0.54950970970971,0.551193193193193,0.5337,1.1007029029029,83,999,999,"no:81; yes:2",0.294,0.695560975609756
"bacdive","metabolite_utilization.methyl_alpha.D.glucopyranoside.builds_acid_from",-0.0052,0.661,0.033,0.25,1.59244517952161,0.735772897781918,-0.50760321021021,0.615532532532532,0.6662,1.12313574274274,76,999,999,"no:58; yes:18",0.294,0.6125
"bacdive","enzymes.leucyl_glycin_arylamidase",0.197,0.493,0.034,0.053,1.76126415948751,1.82913149108157,-0.0958152442442442,0.37250950950951,0.296,0.468324753753754,163,999,999,"no:83; yes:80",0.294,0.399
"traitar","cell_shape",0.113,0.201,0.035,0.067,1.88466116157437,1.75320895807508,0.00759859129129129,0.136676676676677,0.088,0.129078085385385,940,999,999,"1:114; 2:826",0.0816666666666667,0.13584375
"bacdive","enzymes.oxidase",-0.0298,0.628,0.036,0.005,1.69896771034863,2.84799931810344,-0.389705915915916,0.459896896896897,0.6578,0.849602812812813,127,999,999,"no:99; yes:28",0.294,0.168
"bacdive","enzymes.gamma.glutamyltransferase",0.0677,0.756,0.036,0.172,1.5624160195064,0.969683977613641,-0.444939479479479,0.701303303303303,0.6883,1.14624278278278,47,999,999,"no:33; yes:14",0.294,0.561866666666667
"traitar","Colistin.Polymyxin.susceptible",0.143,0.227,0.043,0.046,1.86913238655963,2.01965411548273,0.0400140577577578,0.143254154154154,0.084,0.103240096396396,1112,999,999,"0:793; 1:319",0.09675,0.0999310344827586
"traitar","ONPG..beta.galactosidase.",0.142,0.206,0.048,0.093,1.75021526209993,1.45973446927125,0.0455094631631632,0.148159059059059,0.064,0.102649595895896,1112,999,999,"0:532; 1:580",0.102375,0.158307692307692
"traitar","Urea.hydrolysis",0.114,0.186,0.049,0.098,1.7993020360136,1.49665974764829,0.0200940930930931,0.128875475475475,0.072,0.108781382382382,1112,999,999,"0:945; 1:167",0.102375,0.158307692307692
"traitar","Motile",0.114,0.194,0.052,0.066,1.80594159270061,1.73639556388977,0.0228756301301301,0.130230830830831,0.08,0.107355200700701,1112,999,999,"0:899; 1:213",0.102375,0.13584375
"traitar","Growth.in.6.5..NaCl",0.0914,0.192,0.052,0.03,1.75263109433579,2.23016649832997,0.00391716176176176,0.117621621621622,0.1006,0.11370445985986,1112,999,999,"0:1001; 1:111",0.102375,0.07
"bacdive","metabolite_utilization.myo.inositol.builds_acid_from",-0.0227,0.629,0.062,0.23,1.44041623203276,0.761149009603124,-0.519915875875876,0.567756756756757,0.6517,1.08767263263263,82,999,999,"no:76; yes:6",0.441,0.6125
"bacdive","metabolite_utilization.methyl_beta.D.glucopyranoside.builds_acid_from",0.21,0.88,0.062,0.141,1.35226686449624,1.08809619414109,-0.413415855855856,0.824508508508509,0.67,1.23792436436436,28,999,999,"no:22; yes:6",0.441,0.541390243902439
"bacdive","metabolite_utilization.D.mannitol.fermentation",0.232,0.892,0.066,0.105,1.31769218374637,1.37103919294753,-0.491623155155155,0.80142042042042,0.66,1.29304357557558,31,999,999,"no:23; yes:8",0.441,0.532241379310345
"bacdive","metabolite_utilization.lactose.builds_acid_from",0.0569,0.52,0.069,0.328,1.38887133921376,0.45565552116636,-0.247317449449449,0.491906906906907,0.4631,0.739224356356356,128,999,999,"no:63; yes:65",0.441,0.695560975609756
"bacdive","enzymes.phenylalanine_arylamidase",0.0444,0.459,0.072,0.055,1.4859147507579,1.69312662755991,-0.193052558558559,0.362965965965966,0.4146,0.556018524524524,164,999,999,"no:130; yes:34",0.441,0.399
"bacdive","antibiotic_resistance.0129_2_4.Diamino.6_7.di.iso.propylpteridine_phosphate.is_resistant",0.0709,0.824,0.072,0.117,1.26640538434535,1.20573466174811,-0.552022267267267,0.754284284284284,0.7531,1.30630655155155,42,999,999,"no:15; yes:27",0.441,0.541390243902439
"bacdive","metabolite_utilization.L.rhamnose.builds_acid_from",0.0173,0.605,0.077,0.08,1.34611638763584,1.49056926926746,-0.321020215215215,0.508796796796797,0.5877,0.829817012012012,118,999,999,"no:93; yes:25",0.45276,0.4704
"traitar","Coccus...pairs.or.chains.predominate",0.0763,0.167,0.078,0.091,1.44927581536092,1.45461171256954,0.00706767857857858,0.118531431431431,0.0907,0.111463752852853,1112,999,999,"0:997; 1:115",0.144,0.158307692307692
"traitar","L.Rhamnose",0.106,0.2,0.079,0.069,1.53330392877869,1.71985941502557,0.0260929608608609,0.134052652652653,0.094,0.107959691791792,1112,999,999,"0:899; 1:213",0.144,0.13584375
"traitar","Gas.from.glucose",0.0887,0.176,0.08,0.097,1.48931215701719,1.45470166654671,0.0157347017017017,0.125311211211211,0.0873,0.10957650950951,1112,999,999,"0:961; 1:151",0.144,0.158307692307692
"bacdive","metabolite_utilization.D.lyxose.builds_acid_from",-0.105,0.783,0.082,0.014,1.30873848617424,2.22493644155823,-0.543794094094094,0.561314314314314,0.888,1.10510840840841,78,999,999,"no:76; yes:2",0.463615384615385,0.2058
"bacdive","enzymes.proline.arylamidase",0.0694,0.404,0.093,0.132,1.23511397892981,1.13491111732848,-0.111171625625626,0.340271271271271,0.3346,0.451442896896897,181,999,999,"no:134; yes:47",0.46396875,0.541390243902439
"bacdive","metabolite_utilization.D.galactose.builds_acid_from",0.0986,0.678,0.095,0.247,1.13255702207143,0.685886335205444,-0.253640550550551,0.640908908908909,0.5794,0.89454945945946,69,999,999,"no:32; yes:37",0.46396875,0.6125
"bacdive","metabolite_utilization.nitrate.reduction",0.00407,0.342,0.097,0.053,1.29712252048245,1.75276853095183,-0.133462009009009,0.263822822822823,0.33793,0.397284831831832,301,999,999,"no:250; yes:51",0.46396875,0.399
"traitar","Coccus...clusters.or.groups.predominate",0.017,0.125,0.098,0.095,1.29748741990721,1.36315420934313,-0.035852017017017,0.0922111111111111,0.108,0.128063128128128,1112,999,999,"0:1084; 1:28",0.1715,0.158307692307692
"bacdive","enzymes.beta.mannosidase",0.086,0.937,0.1,0.008,1.04713539101055,1.8105073496728,-0.437774334334334,0.811345345345345,0.851,1.24911967967968,29,999,999,"no:27; yes:2",0.46396875,0.168
"bacdive","metabolite_utilization.D.ribose.builds_acid_from",-0.0275,0.614,0.101,0.145,1.20375100138068,1.04615051652335,-0.342520261261261,0.552139139139139,0.6415,0.8946594004004,93,999,999,"no:54; yes:39",0.46396875,0.541390243902439
"bacdive","metabolite_utilization.D.ribose.fermentation",0.00918,0.92,0.101,0.104,1.14832986957754,1.30986448150445,-0.666960448448448,0.864427427427427,0.91082,1.53138787587588,21,999,999,"no:12; yes:9",0.46396875,0.532241379310345
"bacdive","metabolite_utilization.alpha.cyclodextrin.builds_acid_from",0.158,0.915,0.112,0.026,1.2422915348979,1.79070117848842,-0.388943625625626,0.791264264264264,0.757,1.18020788988989,29,999,999,"no:26; yes:3",0.4872,0.273
"bacdive","enzymes.N.acetyl.beta.glucosaminidase",0.0346,0.345,0.113,0.115,1.13970304086674,1.19919904944468,-0.0959232992992993,0.284325325325325,0.3104,0.380248624624625,282,999,999,"no:201; yes:81",0.4872,0.541390243902439
"traitar","Hydrogen.sulfide",0.0957,0.174,0.114,0.15,1.33766378224937,1.07572879238019,0.0260009945945946,0.13375015015015,0.0783,0.107749155555556,1112,999,999,"0:909; 1:203",0.192315789473684,0.225
"traitar","Bile.susceptible",0.108,0.181,0.116,0.184,1.19966014444561,0.856701925037488,0.0420971961961962,0.146019419419419,0.073,0.103922223223223,1112,999,999,"0:525; 1:587",0.192315789473684,0.252
"bacdive","enzymes.lipase",-0.0692,0.757,0.116,0.149,1.11666113754493,1.08770740103914,-0.503803972972973,0.686637637637638,0.8262,1.19044161061061,55,999,999,"no:49; yes:6",0.4872,0.541390243902439
"traitar","Esculin.hydrolysis",0.11,0.192,0.121,0.133,1.24410597562349,1.21106801673882,0.0413956646865866,0.144386386386386,0.082,0.1029907216998,1112,999,999,"0:649; 1:463",0.1953,0.204365853658537
"traitar","L.Arabinose",0.1,0.181,0.124,0.16,1.20918076540808,0.997147814881201,0.0371968398398398,0.141725725725726,0.081,0.104528885885886,1112,999,999,"0:779; 1:333",0.1953,0.234418604651163
"bacdive","metabolite_utilization.malate.assimilation",0.13,0.844,0.14,0.34,1.12197949522898,0.501452790084903,-0.704008188188188,0.818172172172172,0.714,1.52218036036036,24,999,999,"no:12; yes:12",0.5488,0.695560975609756
"bacdive","metabolite_utilization.L.fucose.builds_acid_from",-0.126,0.661,0.14,0.151,1.04319295312213,1.04165335977632,-0.467780871871872,0.589540540540541,0.787,1.05732141241241,80,999,999,"no:71; yes:9",0.5488,0.541390243902439
"bacdive","enzymes.glycyl_tryptophan_arylamidase",0.0467,0.848,0.144,0.4,0.925445409250921,0.290995927832322,-0.429475402402402,0.832498498498499,0.8013,1.2619739009009,26,999,999,"no:19; yes:7",0.5488,0.7
"bacdive","metabolite_utilization.glycerol.builds_acid_from",-0.112,0.601,0.147,0.077,1.0286503117641,1.49668198227646,-0.392520235235235,0.501461461461461,0.713,0.893981696696697,114,999,999,"no:96; yes:18",0.5488,0.4704
"bacdive","enzymes.protease",-0.107,0.823,0.154,0.345,1.00383282505827,0.489381456578874,-0.532170164164164,0.794895895895896,0.93,1.32706606006006,40,999,999,"no:35; yes:5",0.5488,0.695560975609756
"traitar","Growth.on.ordinary.blood.agar",-0.00615,0.078,0.154,0.592,0.959059652711118,-0.365425038982058,-0.0458834152152152,0.0865943943943944,0.08415,0.13247780960961,1112,999,999,"0:21; 1:1091",0.236634146341463,0.611409836065574
"bacdive","enzymes.pyrazinamidase",-0.0298,0.872,0.158,0.183,0.974114421627043,0.955610515320593,-0.589608255255255,0.827761761761762,0.9018,1.41737001701702,26,999,999,"no:10; yes:16",0.5488,0.569625
"bacdive","enzymes.gelatinase",-0.115,0.427,0.161,0.493,0.971992092961165,-0.0235352420350615,-0.328109233233233,0.428332332332332,0.542,0.756441565565566,136,999,999,"no:111; yes:25",0.5488,0.7616
"bacdive","metabolite_utilization.glycogen.builds_acid_from",-0.2,0.574,0.161,0.215,0.913697243522354,0.783624330448813,-0.451655511511512,0.521874874874875,0.774,0.973530386386386,99,999,999,"no:81; yes:18",0.5488,0.588
"bacdive","metabolite_utilization.maltose.fermentation",-0.0915,0.893,0.167,0.272,0.977311968675894,0.671764053217572,-0.633034824924925,0.866196196196196,0.9845,1.49923102112112,24,999,999,"no:12; yes:12",0.5488,0.655475409836066
"bacdive","enzymes.urease",-0.0676,0.291,0.168,0.143,0.878321808089716,1.06948380935489,-0.160216085085085,0.237867867867868,0.3586,0.398083952952953,298,999,999,"no:282; yes:16",0.5488,0.541390243902439
"traitar","Pyrrolidonyl.beta.naphthylamide",0.0702,0.144,0.173,0.326,0.860145478315328,0.292438001912999,0.0262293453453453,0.13303043043043,0.0738,0.106801085085085,1112,999,999,"0:896; 1:216",0.256395348837209,0.394961538461538
"traitar","D.Sorbitol",0.0219,0.168,0.175,0.03,0.88623144666507,2.29587009408369,-0.017052980980981,0.102954854854855,0.1461,0.120007835835836,1112,999,999,"0:1054; 1:58",0.256395348837209,0.07
"bacdive","metabolite_utilization.D.arabinose.builds_acid_from",-0.251,0.569,0.177,0.531,0.874561404153773,-0.142228379859539,-0.532665950950951,0.578793793793794,0.82,1.11145974474474,81,999,999,"no:74; yes:7",0.565630434782609,0.7616
"bacdive","enzymes.tyrosine_arylamidase",-0.0341,0.386,0.183,0.317,0.890698190506084,0.452148974115172,-0.177067557557558,0.362154154154154,0.4201,0.539221711711712,158,999,999,"no:124; yes:34",0.57236170212766,0.695560975609756
"traitar","Tartrate.utilization",0.0511,0.167,0.183,0.114,0.850465097430211,1.30689118146564,0.0103039098098098,0.121598598598599,0.1159,0.111294688788789,1112,999,999,"0:983; 1:129",0.262022727272727,0.17955
"traitar","Capnophilic",0.0272,0.135,0.19,0.168,0.808432374546088,0.907034027386945,-0.00915426816816817,0.107454854854855,0.1078,0.116609123023023,1112,999,999,"0:1043; 1:69",0.266,0.2366
"bacdive","metabolite_utilization.raffinose.builds_acid_from",-0.0637,0.483,0.192,0.363,0.856166589739451,0.314195109527909,-0.254687581581582,0.463518518518518,0.5467,0.7182061001001,141,999,999,"no:87; yes:54",0.5788125,0.695560975609756
"bacdive","enzymes.alpha.galactosidase",-0.0244,0.28,0.199,0.48,0.754550191823143,0.0198959494866138,-0.106694035035035,0.279049049049049,0.3044,0.385743084084084,281,999,999,"no:199; yes:82",0.5788125,0.7616
"traitar","Arginine.dihydrolase",0.0763,0.15,0.201,0.339,0.817353106741871,0.284852053248098,0.0326625531331331,0.138746446446446,0.0737,0.106083893313313,1112,999,999,"0:801; 1:311",0.275282608695652,0.402962264150943
