"source","trait","q2","r2y","pQ2_phylo","pR2Y_phylo","z_q2","z_r2y","q2_null_mean","r2y_null_mean","gap_obs","gap_null_mean","n_taxa","n_sim","n_sim_ok","class_n","pQ2_phylo_fdr","pR2Y_phylo_fdr"
"bacdive","metabolite_utilization.salicin.builds_acid_from",-0.204,0.606,0.309,0.122,0.556731165930998,1.17269655796582,-0.354143902102102,0.532728728728729,0.81,0.886872630830831,109,999,999,"no:70; yes:39",0.658304347826087,0.541390243902439
"traitar","Malonate",0.0288,0.139,0.316,0.26,0.398896746379984,0.518875284561446,0.0102705306306306,0.121866266266266,0.1102,0.111595735635636,1112,999,999,"0:977; 1:135",0.382846153846154,0.3276
"bacdive","enzymes.caseinase",-0.366,0.725,0.321,0.67,0.53682062150509,-0.399518652215244,-0.58480154954955,0.747141141141141,1.091,1.33194269069069,48,999,999,"no:34; yes:14",0.665472972972973,0.841794871794872
"traitar","Trehalose",0.0607,0.17,0.323,0.238,0.366111938002494,0.634643891464575,0.0398794334334334,0.14412022022022,0.1093,0.104240786786787,1112,999,999,"0:694; 1:418",0.383943396226415,0.306
"bacdive","metabolite_utilization.citrate.assimilation",0.0269,0.842,0.331,0.66,0.563004381643221,-0.404314664271286,-0.335283373373373,0.866966966966967,0.8151,1.20225034034034,20,999,999,"no:16; yes:4",0.665472972972973,0.836379310344828
"bacdive","enzymes.valine_arylamidase",-0.276,0.467,0.333,0.186,0.434741519572877,0.852576487012958,-0.366185161161161,0.419545545545546,0.743,0.785730706706707,147,999,999,"no:114; yes:33",0.665472972972973,0.569625
"bacdive","metabolite_utilization.tryptophan.energy_source",-0.097,0.334,0.334,0.356,0.441037704966609,0.33530200979399,-0.157016464464464,0.317069069069069,0.431,0.474085533533534,199,999,999,"no:170; yes:29",0.665472972972973,0.695560975609756
"bacdive","metabolite_utilization.arbutin.builds_acid_from",-0.328,0.682,0.335,0.248,0.527003373718629,0.737917174678255,-0.49983990990991,0.644398398398398,1.01,1.14423830830831,66,999,999,"no:40; yes:26",0.665472972972973,0.6125
"traitar","Growth.at.42..C",0.0505,0.158,0.353,0.274,0.30968043340838,0.469199637274746,0.0336530850850851,0.139067267267267,0.1075,0.105414182182182,1112,999,999,"0:274; 1:838",0.411833333333333,0.338470588235294
"bacdive","enzymes.arginine_dihydrolase",-0.145,0.329,0.359,0.504,0.369946005670457,-0.0296806611888029,-0.197214121171171,0.330525525525526,0.474,0.527739646696697,204,999,999,"no:170; yes:34",0.696818181818182,0.7616
"bacdive","enzymes.trypsin",-0.272,0.347,0.362,0.825,0.427095512216166,-0.92589059127735,-0.360105755755756,0.400284284284284,0.619,0.76039004004004,146,999,999,"no:130; yes:16",0.696818181818182,0.95492125984252
"bacdive","enzymes.DNase",-0.413,0.795,0.365,0.169,0.408051140154229,1.01142977927155,-0.556665045045045,0.735946946946947,1.208,1.29261199199199,49,999,999,"no:39; yes:10",0.696818181818182,0.561866666666667
"bacdive","metabolite_utilization.D.sorbitol.builds_acid_from",-0.393,0.647,0.399,0.137,0.338726698708768,1.16214997919712,-0.505011003003003,0.565844844844845,1.04,1.07085584784785,88,999,999,"no:77; yes:11",0.751961538461538,0.541390243902439
"bacdive","metabolite_utilization.D.mannose.fermentation",-0.0798,0.437,0.407,0.165,0.228622632772761,0.984369239567726,-0.116636534034034,0.376636636636637,0.5168,0.493273170670671,157,999,999,"no:108; yes:49",0.753802325581395,0.561866666666667
"bacdive","metabolite_utilization.gelatin.hydrolysis",-0.307,0.512,0.413,0.375,0.286091557629903,0.29285074082199,-0.382438379379379,0.493777777777778,0.819,0.876216157157157,103,999,999,"no:88; yes:15",0.753802325581395,0.695560975609756
"bacdive","metabolite_production.indole",-0.0651,0.2,0.423,0.302,0.233197124806518,0.471455030461285,-0.0800221584584585,0.185083083083083,0.2651,0.265105241541542,278,999,999,"no:232; no;yes:4; yes:42",0.753802325581395,0.695560975609756
"bacdive","enzymes.esterase_.C_4.",-0.277,0.42,0.424,0.571,0.244675630422122,-0.185205222896214,-0.3254597997998,0.429956956956957,0.697,0.755416756756757,142,999,999,"no:49; yes:93",0.753802325581395,0.776427272727273
"bacdive","metabolite_utilization.gentiobiose.builds_acid_from",-0.321,0.685,0.427,0.335,0.287459142827069,0.481301110810618,-0.421797387387387,0.657987987987988,1.006,1.07978537537538,67,999,999,"no:44; yes:23",0.753802325581395,0.695560975609756
"traitar","Sucrose",0.0462,0.186,0.435,0.169,0.0801717526913179,1.01069821798161,0.0416801661661662,0.144942542542543,0.1398,0.103262376376376,1112,999,999,"0:622; 1:490",0.498272727272727,0.2366
"bacdive","enzymes.beta.glucosidase",-0.104,0.285,0.436,0.468,0.18341764768388,-0.00570948956613072,-0.123897697697698,0.285272272272272,0.389,0.40916996996997,270,999,999,"no:187; yes:83",0.753802325581395,0.7616
"bacdive","metabolite_utilization.melibiose.builds_acid_from",-0.309,0.536,0.441,0.576,0.29535204584377,-0.198053758814587,-0.388248438438438,0.547318318318318,0.845,0.935566756756757,94,999,999,"no:62; yes:32",0.753802325581395,0.776427272727273
"bacdive","enzymes.histidine_arylamidase",-0.107,0.395,0.441,0.333,0.208653879699107,0.373816954519196,-0.140596507847848,0.374643643643644,0.502,0.515240151491491,161,999,999,"no:121; yes:40",0.753802325581395,0.695560975609756
"bacdive","metabolite_utilization.trehalose.builds_acid_from",-0.267,0.494,0.469,0.388,0.108239903585601,0.239222231461555,-0.290674510510511,0.47947047047047,0.761,0.770144980980981,131,999,999,"no:80; yes:51",0.791795454545455,0.695560975609756
"bacdive","metabolite_utilization.sucrose.fermentation",-0.354,0.792,0.474,0.684,0.1959920489871,-0.469281756770314,-0.446007366166166,0.816252252252252,1.146,1.26225961841842,30,999,999,"no:12; yes:18",0.791795454545455,0.844941176470588
"bacdive","metabolite_utilization.amygdalin.builds_acid_from",-0.419,0.688,0.492,0.213,0.151753228950643,0.798502146977191,-0.473047834734735,0.642433433433433,1.107,1.11548126816817,70,999,999,"no:48; yes:22",0.812629213483146,0.588
"traitar","Beta.hemolysis",-0.0392,0.0724,0.505,0.773,-0.0281652533592623,-0.713807551314052,-0.0380122414414414,0.0906182182182182,0.1116,0.12863045965966,1112,999,999,"0:1086; 1:26",0.568125,0.785467741935484
"bacdive","metabolite_utilization.melezitose.builds_acid_from",-0.326,0.462,0.512,0.386,0.00732047081069345,0.279314495957816,-0.327712832832833,0.443753753753754,0.788,0.771466586586587,136,999,999,"no:120; yes:16",0.836266666666667,0.695560975609756
"bacdive","metabolite_utilization.D.tagatose.builds_acid_from",-0.49,0.55,0.527,0.362,-0.0208274718049761,0.352371701326638,-0.483385162862863,0.522354354354354,1.04,1.00573951721722,93,999,999,"no:85; yes:8",0.848445652173913,0.695560975609756
"bacdive","metabolite_utilization.D.mannitol.builds_acid_from",-0.314,0.455,0.531,0.514,-0.0207274361590193,-0.0576741415897763,-0.309216943943944,0.458775775775776,0.769,0.76799271971972,135,999,999,"no:109; yes:26",0.848445652173913,0.7616
"bacdive","metabolite_utilization.L.arabinose.builds_acid_from",-0.285,0.511,0.543,0.236,-0.0178283506554169,0.710310671690132,-0.280788336336336,0.464237237237237,0.796,0.745025573573574,137,999,999,"no:94; yes:43",0.854147368421053,0.6125
"traitar","Gelatin.hydrolysis",0.014,0.124,0.547,0.5,-0.133158559261397,-0.146121737560778,0.020899353953954,0.129514114114114,0.11,0.10861476016016,1112,999,999,"0:937; 1:175",0.604578947368421,0.533898305084746
"bacdive","metabolite_utilization.D.xylose.builds_acid_from",-0.278,0.497,0.552,0.513,-0.0153670318375106,-0.0861508816402529,-0.274469841841842,0.50223023023023,0.775,0.776700072072072,124,999,999,"no:73; yes:51",0.854147368421053,0.7616
"bacdive","enzymes.serine_arylamidase",-0.191,0.374,0.552,0.301,-0.093469792890555,0.460512471254784,-0.17610382982983,0.348303303303303,0.565,0.524407133133133,162,999,999,"no:136; yes:26",0.854147368421053,0.695560975609756
"bacdive","metabolite_production.acetoin",-0.269,0.598,0.566,0.206,-0.0552205453701895,0.871510100965167,-0.258645527527528,0.542854854854855,0.867,0.801500382382382,42,999,999,"no:24; no;yes:1; yes:17",0.862235294117647,0.588
"traitar","Lysine.decarboxylase",-0.0505,0.104,0.576,0.191,-0.179476417719067,0.676301290918423,-0.0435214344344344,0.0880772772772773,0.1545,0.131598711711712,1112,999,999,"0:1089; 1:23",0.625655172413793,0.256021276595745
"bacdive","metabolite_utilization.inulin.builds_acid_from",-0.673,0.527,0.582,0.536,-0.140281219851347,-0.203202727365342,-0.627487347347347,0.546042042042042,1.2,1.17352938938939,82,999,999,"no:80; yes:2",0.862235294117647,0.7616
"bacdive","enzymes.tween_esterase",-0.584,0.77,0.583,0.321,-0.0718669057009574,0.538026432639207,-0.557183677177177,0.740590590590591,1.354,1.29777426776777,48,999,999,"no:34; yes:14",0.862235294117647,0.695560975609756
"bacdive","metabolite_utilization.Potassium_5.ketogluconate.builds_acid_from",-0.456,0.599,0.587,0.876,-0.0947164500408934,-1.19074098266564,-0.421928267267267,0.671964964964965,1.055,1.09389323223223,62,999,999,"no:51; yes:11",0.862235294117647,0.97634328358209
"bacdive","enzymes.L.arginine_arylamidase",-0.178,0.357,0.591,0.723,-0.165775602900428,-0.632456249555736,-0.148354346346346,0.393798798798799,0.535,0.542153145145145,148,999,999,"no:95; yes:53",0.862235294117647,0.882
"traitar","D.Mannitol",-0.00126,0.128,0.607,0.405,-0.363180254249391,0.0280853775659906,0.0178397932332332,0.126943843843844,0.12926,0.109104050610611,1112,999,999,"0:950; 1:162",0.6468,0.441
"bacdive","metabolite_utilization.D.mannose.builds_acid_from",-0.38,0.553,0.614,0.492,-0.250864672188896,-0.00986817927255834,-0.314565782782783,0.55360960960961,0.933,0.868175392392392,105,999,999,"no:38; yes:67",0.862235294117647,0.7616
"traitar","Alkaline.phosphatase",0.0263,0.158,0.616,0.363,-0.337064739008872,0.280735378761521,0.0445343543543544,0.146895895895896,0.1317,0.102361541541542,1112,999,999,"0:491; 1:621",0.6468,0.4235
"bacdive","enzymes.cytochrome.c_oxidase",-0.569,0.83,0.623,0.456,-0.131662641829891,0.190245515869654,-0.492919570570571,0.820441441441441,1.399,1.31336101201201,27,999,999,"no:19; yes:8",0.862235294117647,0.7616
"bacdive","enzymes.alpha.mannosidase",-0.498,0.533,0.627,0.057,-0.238931855493377,1.60809025153619,-0.450859159159159,0.377705705705706,1.031,0.828564864864865,146,999,999,"no:144; yes:2",0.862235294117647,0.399
"bacdive","metabolite_utilization.Potassium_2.ketogluconate.builds_acid_from",-0.517,0.543,0.629,0.5,-0.471073545264639,-0.174328275147715,-0.427675375375375,0.564452452452452,1.06,0.992127827827828,74,999,999,"no:73; yes:1",0.862235294117647,0.7616
"bacdive","enzymes.alpha.fucosidase",-0.203,0.248,0.638,0.66,-0.273383166925424,-0.48485163780756,-0.171300862862863,0.270618618618619,0.451,0.441919481481481,266,999,999,"no:239; yes:27",0.862235294117647,0.836379310344828
"bacdive","metabolite_utilization.D.fucose.builds_acid_from",-0.66,0.703,0.645,0.076,-0.300692319745663,1.68062592541462,-0.568251051051051,0.541667667667668,1.363,1.10991871871872,81,999,999,"no:79; yes:2",0.862235294117647,0.4704
"bacdive","enzymes.lysine_decarboxylase",-0.689,0.578,0.659,0.516,-0.310018329427838,-0.0344719451586121,-0.589218898898899,0.58065965965966,1.267,1.16987855855856,77,999,999,"no:72; yes:5",0.862235294117647,0.7616
"bacdive","metabolite_utilization.arginine.hydrolysis",-0.247,0.328,0.663,0.527,-0.336796095564613,-0.116968411575368,-0.197099409409409,0.334112112112112,0.575,0.531211521521522,195,999,999,"no:162; yes:33",0.862235294117647,0.7616
"bacdive","metabolite_utilization.ribitol.builds_acid_from",-0.712,0.551,0.664,0.563,-0.39378539880147,-0.172895672601868,-0.572947137137137,0.565377377377377,1.263,1.13832451451451,84,999,999,"no:79; yes:5",0.862235294117647,0.776427272727273
"bacdive","metabolite_utilization.D.glucose.assimilation",-0.803,0.755,0.668,0.805,-0.462153788805642,-0.85641770667898,-0.531145005005005,0.801787787787788,1.558,1.33293279279279,29,999,999,"no:13; yes:16",0.862235294117647,0.939166666666667
"bacdive","metabolite_utilization.methyl_alpha.D.mannoside.builds_acid_from",-0.518,0.373,0.671,0.951,-0.51834690958836,-1.48942545228769,-0.428893093093093,0.548358358358358,0.891,0.977251451451451,80,999,999,"no:79; yes:1",0.862235294117647,0.996
"bacdive","metabolite_utilization.sorbitol.builds_acid_from",-0.626,0.655,0.677,0.105,-0.359653238309689,1.26290992242963,-0.516024975975976,0.568617617617618,1.281,1.08464259359359,76,999,999,"no:70; yes:6",0.862235294117647,0.532241379310345
"bacdive","metabolite_utilization.lactose.fermentation",-0.653,0.679,0.683,0.88,-0.377067552044641,-1.21166828771704,-0.475278044044044,0.752102102102102,1.332,1.22738014614615,36,999,999,"no:21; yes:15",0.862235294117647,0.97634328358209
"bacdive","enzymes.beta.glucuronidase",-0.234,0.175,0.686,0.959,-0.45043028049416,-1.55875846625974,-0.183718163163163,0.251632632632633,0.409,0.435350795795796,285,999,999,"no:269; yes:16",0.862235294117647,0.996
"bacdive","enzymes.amylase",-0.823,0.7,0.687,0.683,-0.409299218418859,-0.476138349062569,-0.653965990990991,0.726137137137137,1.523,1.38010312812813,51,999,999,"no:35; yes:16",0.862235294117647,0.844941176470588
"bacdive","metabolite_utilization.starch.builds_acid_from",-0.501,0.618,0.694,0.467,-0.395363502194524,0.103646256695882,-0.384058415415415,0.611644644644645,1.119,0.99570306006006,76,999,999,"no:56; yes:20",0.862235294117647,0.7616
"bacdive","enzymes.glycin_arylamidase",-0.217,0.41,0.696,0.319,-0.423456893714543,0.410686224136249,-0.145786994294294,0.386238238238238,0.627,0.532025232532533,147,999,999,"no:109; yes:38",0.862235294117647,0.695560975609756
"bacdive","enzymes.ornithine_decarboxylase",-0.719,0.474,0.696,0.792,-0.473475069225936,-0.934541176122515,-0.564892436436436,0.562126126126126,1.193,1.12701856256256,81,999,999,"no:78; yes:3",0.862235294117647,0.931392
"bacdive","enzymes.esterase_lipase_.C_8.",-0.462,0.469,0.698,0.399,-0.46643699052666,0.23874147632014,-0.364919079079079,0.455795795795796,0.931,0.820714874874875,131,999,999,"no:57; yes:74",0.862235294117647,0.7
"bacdive","metabolite_utilization.D.glucose.builds_acid_from",-0.445,0.459,0.71,0.655,-0.505675528639623,-0.449859227430047,-0.312470183183183,0.488363363363363,0.904,0.800833546546547,116,999,999,"no:20; yes:96",0.86975,0.836379310344828
"bacdive","metabolite_utilization.citrate.carbon_source",-0.456,0.882,0.749,0.131,-0.600360154561759,1.14701489428653,-0.241299857857858,0.818236236236236,1.338,1.05953609409409,30,999,999,"no:21; yes:9",0.909942148760331,0.541390243902439
"bacdive","enzymes.alpha.glucosidase",-0.205,0.226,0.789,0.967,-0.756162940675659,-1.51214868292968,-0.118387743743744,0.299282282282282,0.431,0.417670026026026,261,999,999,"no:125; yes:136",0.945961832061069,0.996
"bacdive","metabolite_utilization.L.arabinose.assimilation",-0.611,0.755,0.793,0.857,-0.619588750472437,-1.101133529256,-0.271067487487487,0.839127127127127,1.366,1.11019461461461,22,999,999,"no:19; yes:3",0.945961832061069,0.97634328358209
"bacdive","metabolite_utilization.erythritol.builds_acid_from",-0.531,0.539,0.798,0.36,-0.617840534305892,0.0164499449999415,-0.441261961961962,0.537068068068068,1.07,0.97833003003003,83,999,999,"no:82; yes:1",0.945961832061069,0.695560975609756
"bacdive","enzymes.acid_phosphatase",-0.424,0.302,0.816,0.944,-0.884053320241114,-1.47481458226519,-0.260424164164164,0.376961961961962,0.726,0.637386126126126,172,999,999,"no:43; yes:129",0.945961832061069,0.996
"bacdive","metabolite_utilization.D.fructose.builds_acid_from",-0.608,0.451,0.827,0.995,-0.922783029708285,-2.44588748328824,-0.324983148148148,0.606245245245245,1.059,0.931228393393393,74,999,999,"no:19; yes:55",0.945961832061069,0.996
"bacdive","metabolite_utilization.cellobiose.builds_acid_from",-0.579,0.473,0.828,0.726,-0.971845097151116,-0.588715701485729,-0.343541347347347,0.507925925925926,1.052,0.851467273273273,116,999,999,"no:77; yes:39",0.945961832061069,0.882
"bacdive","metabolite_utilization.xylitol.builds_acid_from",-0.584,0.509,0.829,0.608,-0.868733677218395,-0.300469900209561,-0.446045045045045,0.545852852852853,1.093,0.991897897897898,81,999,999,"no:80; yes:1",0.945961832061069,0.798
"traitar","Indole",-0.0422,0.125,0.839,0.388,-0.987843694062159,0.157198100127742,0.00693399777777778,0.119610510510511,0.1672,0.112676512732733,1112,999,999,"0:997; 1:115",0.866508196721312,0.4365
"bacdive","enzymes.lecithinase",-0.855,0.668,0.842,0.885,-0.917110827233953,-1.25605868884891,-0.513647572572573,0.746254254254254,1.523,1.25990182682683,47,999,999,"no:40; yes:7",0.945961832061069,0.97634328358209
"bacdive","enzymes.lipase_.C_14.",-0.621,0.242,0.843,0.996,-1.00267043696009,-2.18296558411839,-0.40409984984985,0.388555555555556,0.863,0.792655405405405,145,999,999,"no:137; yes:8",0.945961832061069,0.996
"bacdive","metabolite_utilization.raffinose.carbon_source",-0.441,0.628,0.843,0.842,-1.14975768811145,-1.0868669791542,-0.164912212212212,0.764107107107107,1.069,0.929019319319319,36,999,999,"no:1; yes:35",0.945961832061069,0.966984375
"bacdive","metabolite_utilization.sucrose.builds_acid_from",-0.508,0.354,0.851,0.962,-1.00369427998875,-1.66974100875364,-0.282029309309309,0.458076076076076,0.862,0.740105385385385,139,999,999,"no:60; yes:79",0.947704545454545,0.996
"bacdive","enzymes.cystine_arylamidase",-0.596,0.363,0.859,0.789,-1.10356796227687,-0.846047722463144,-0.370024224224224,0.414027027027027,0.959,0.784051251251251,142,999,999,"no:126; yes:16",0.949421052631579,0.931392
"bacdive","enzymes.beta.Galactosidase_6.phosphate",-0.416,0.225,0.866,0.969,-1.05705481470812,-1.64048785003619,-0.248350830830831,0.321797797797798,0.641,0.570148628628629,162,999,999,"no:155; yes:7",0.950014925373134,0.996
"traitar","Starch.hydrolysis",-0.0376,0.118,0.882,0.535,-1.10439240581454,-0.209428210275088,0.0154350168168168,0.125171571571572,0.1556,0.109736554754755,1112,999,999,"0:952; 1:160",0.896225806451613,0.56175
"bacdive","enzymes.phenylalanine_ammonia.lyase",-0.458,0.83,0.885,0.54,-1.01882935185727,0.0207282230622919,-0.161329429429429,0.827885885885886,1.288,0.989215315315315,27,999,999,"no:26; yes:1",0.956036496350365,0.7616
"bacdive","metabolite_utilization.maltose.assimilation",-1.8,0.767,0.889,0.761,-1.29933797530615,-0.658036753751395,-0.807847557557558,0.804855855855856,2.567,1.61270341341341,23,999,999,"no:12; yes:11",0.956036496350365,0.91694262295082
"bacdive","metabolite_utilization.hippurate.hydrolysis",-0.774,0.547,0.891,0.981,-1.2916776213421,-2.26228068097419,-0.368416898898899,0.678402402402402,1.321,1.0468193013013,59,999,999,"no:36; yes:23",0.956036496350365,0.996
"bacdive","enzymes.alcohol_dehydrogenase",-0.979,0.54,0.923,0.786,-1.4762866350927,-0.787569729762821,-0.507584704704705,0.599891891891892,1.519,1.1074765965966,73,999,999,"no:66; yes:7",0.973098591549296,0.931392
"bacdive","metabolite_production.hydrogen_sulfide",-1.47,0.685,0.933,0.949,-1.50916795723702,-1.67347331184104,-0.602925638638639,0.788603603603604,2.155,1.39152924224224,28,999,999,"no:17; yes:11",0.973098591549296,0.996
"bacdive","metabolite_utilization.mannitol.carbon_source",-0.502,0.601,0.934,0.972,-1.46842049250341,-2.61783323840834,0.000704704704704705,0.869301301301301,1.103,0.868596596596597,22,999,999,"no:1; yes:21",0.973098591549296,0.996
"bacdive","metabolite_utilization.esculin.hydrolysis",-0.523,0.388,0.939,0.538,-1.55662558070844,-0.177493083299893,-0.225750861861862,0.398662662662663,0.911,0.624413524524524,165,999,999,"no:79; yes:86",0.973098591549296,0.7616
"bacdive","metabolite_utilization.D.mannose.assimilation",-2.1,0.74,0.94,0.944,-1.65353490155421,-1.62238615597632,-0.763785086386386,0.828208208208208,2.84,1.59199329459459,22,999,999,"no:12; yes:10",0.973098591549296,0.996
"bacdive","enzymes.naphthol.AS.BI.phosphohydrolase",-0.726,0.416,0.947,0.633,-1.70624774653535,-0.342039304748249,-0.359471616616617,0.435102102102102,1.142,0.794573718718719,141,999,999,"no:42; yes:99",0.97348951048951,0.82346017699115
"bacdive","metabolite_utilization.galactitol.builds_acid_from",-1.15,0.533,0.972,0.505,-1.90284167905988,-0.140119570235024,-0.575319219219219,0.546586586586587,1.683,1.12190580580581,83,999,999,"no:81; yes:2",0.986,0.7616
"bacdive","metabolite_utilization.D.mannitol.assimilation",-2.33,0.741,0.975,0.866,-2.6187123888313,-1.14716380087405,-0.525068114314314,0.82307007007007,3.071,1.34813818438438,22,999,999,"no:18; yes:4",0.986,0.97634328358209
"traitar","DNase",-0.0974,0.0812,0.985,0.858,-2.09134239987659,-0.998860804850702,-0.00268541259259259,0.112735635635636,0.1786,0.115421048228228,1112,999,999,"0:1025; 1:87",0.985,0.858
"bacdive","enzymes.pyrrolidonyl_arylamidase",-0.445,0.303,0.985,0.574,-2.25248087396259,-0.207372690528867,-0.143014681681682,0.314236236236236,0.748,0.457250917917918,203,999,999,"no:181; yes:22",0.986,0.776427272727273
"bacdive","enzymes.alpha.chymotrypsin",-0.903,0.323,0.986,0.89,-2.36095410216199,-1.23087541504898,-0.394118658658659,0.399821821821822,1.226,0.79394048048048,146,999,999,"no:133; yes:13",0.986,0.97634328358209
