GlobalSpecies0001 35025
GlobalSpecies0002 22803
GlobalSpecies0003 876
GlobalSpecies0004 6432
GlobalSpecies0005 8570
GlobalSpecies0006 3822
GlobalSpecies0007 4550
GlobalSpecies0008 83574
GlobalSpecies0009 3619
GlobalSpecies0010 13724
GlobalSpecies0011 625
GlobalSpecies0012 1639
GlobalSpecies0013 11746
GlobalSpecies0014 6605
GlobalSpecies0015 39465
GlobalSpecies0016 13267
GlobalSpecies0017 41584
GlobalSpecies0018 5318
GlobalSpecies0019 12204
GlobalSpecies0020 2943
GlobalSpecies0021 34401
GlobalSpecies0022 28349
GlobalSpecies0023 295
GlobalSpecies0024 3556
GlobalSpecies0025 3614
GlobalSpecies0026 23143
GlobalSpecies0027 23607
GlobalSpecies0028 18716
GlobalSpecies0029 25879
GlobalSpecies0030 35191
GlobalSpecies0031 12367
GlobalSpecies0032 15962
GlobalSpecies0033 2412
GlobalSpecies0034 2613
GlobalSpecies0035 24832
GlobalSpecies0036 59878
GlobalSpecies0037 31525
GlobalSpecies0038 54475
GlobalSpecies0039 24796
GlobalSpecies0040 33923
GlobalSpecies0041 16637
GlobalSpecies0042 4055
GlobalSpecies0043 7608
GlobalSpecies0044 401
GlobalSpecies0045 35146
GlobalSpecies0046 4685
GlobalSpecies0047 36864
GlobalSpecies0048 29997
GlobalSpecies0049 15166
GlobalSpecies0050 2760
GlobalSpecies0051 672
GlobalSpecies0052 1943
GlobalSpecies0053 10842
GlobalSpecies0054 18805
GlobalSpecies0055 18750
GlobalSpecies0056 1290
GlobalSpecies0057 3368
GlobalSpecies0058 4141
GlobalSpecies0059 7468
GlobalSpecies0060 1163
GlobalSpecies0061 4185
GlobalSpecies0062 25537
GlobalSpecies0063 8950
GlobalSpecies0064 16421
GlobalSpecies0065 18862
GlobalSpecies0066 40387
GlobalSpecies0067 5838
GlobalSpecies0068 80558
GlobalSpecies0069 8909
GlobalSpecies0070 40975
GlobalSpecies0071 8188
GlobalSpecies0072 23575
GlobalSpecies0073 19805
GlobalSpecies0074 23819
GlobalSpecies0075 12772
GlobalSpecies0076 68152
GlobalSpecies0077 35157
GlobalSpecies0078 22884
GlobalSpecies0079 7320
GlobalSpecies0080 5169
GlobalSpecies0081 5565
GlobalSpecies0082 16322
GlobalSpecies0083 12706
GlobalSpecies0084 17637
GlobalSpecies0085 6841
GlobalSpecies0086 13898
GlobalSpecies0087 48209
GlobalSpecies0088 5433
GlobalSpecies0089 793
GlobalSpecies0090 3507
GlobalSpecies0091 1589
GlobalSpecies0092 29899
GlobalSpecies0093 31086
GlobalSpecies0094 43782
GlobalSpecies0095 1600
GlobalSpecies0096 14861
GlobalSpecies0097 3270
GlobalSpecies0098 27592
GlobalSpecies0099 14836
GlobalSpecies0100 21073
GlobalSpecies0101 52237
GlobalSpecies0102 17094
GlobalSpecies0103 19870
GlobalSpecies0104 6209
GlobalSpecies0105 6063
GlobalSpecies0106 1797
GlobalSpecies0107 38456
GlobalSpecies0108 12297
GlobalSpecies0109 7265
GlobalSpecies0110 5926
GlobalSpecies0111 22079
GlobalSpecies0112 16662
GlobalSpecies0113 48776
GlobalSpecies0114 14932
GlobalSpecies0115 51119
GlobalSpecies0116 3165
GlobalSpecies0117 19640
GlobalSpecies0118 12148
GlobalSpecies0119 17397
GlobalSpecies0120 3623
GlobalSpecies0121 24069
GlobalSpecies0122 6530
GlobalSpecies0123 5838
GlobalSpecies0124 8956
GlobalSpecies0125 50109
GlobalSpecies0126 21396
GlobalSpecies0127 17089
GlobalSpecies0128 18866
GlobalSpecies0129 19985
GlobalSpecies0130 11529
GlobalSpecies0131 26715
GlobalSpecies0132 2609
GlobalSpecies0133 19022
GlobalSpecies0134 1199
GlobalSpecies0135 13773
GlobalSpecies0136 7600
GlobalSpecies0137 5880
GlobalSpecies0138 12541
GlobalSpecies0139 22793
GlobalSpecies0140 52603
GlobalSpecies0141 8351
GlobalSpecies0142 13227
GlobalSpecies0143 21208
GlobalSpecies0144 10572
GlobalSpecies0145 11369
GlobalSpecies0146 7703
GlobalSpecies0147 14093
GlobalSpecies0148 17953
GlobalSpecies0149 6807
GlobalSpecies0150 16650
GlobalSpecies0151 9725
GlobalSpecies0152 5769
GlobalSpecies0153 37174
GlobalSpecies0154 28657
GlobalSpecies0155 1047
GlobalSpecies0156 10623
GlobalSpecies0157 31054
GlobalSpecies0158 57365
GlobalSpecies0159 38640
GlobalSpecies0160 9866
GlobalSpecies0161 26765
GlobalSpecies0162 754
GlobalSpecies0163 14761
GlobalSpecies0164 38715
GlobalSpecies0165 3612
GlobalSpecies0166 15273
