FPR,TPR
0.0,0.0
0.0,0.01818181818181818
0.0,0.07272727272727272
0.03125,0.09090909090909091
0.0625,0.09090909090909091
0.0625,0.12727272727272726
0.09375,0.14545454545454545
0.15625,0.16363636363636364
0.15625,0.2
0.1875,0.2
0.1875,0.32727272727272727
0.25,0.38181818181818183
0.25,0.41818181818181815
0.28125,0.43636363636363634
0.28125,0.4727272727272727
0.3125,0.4727272727272727
0.3125,0.4909090909090909
0.375,0.509090909090909
0.375,0.5272727272727272
0.40625,0.5454545454545454
0.40625,0.5818181818181818
0.4375,0.6181818181818182
0.4375,0.6363636363636364
0.46875,0.6363636363636364
0.5,0.6545454545454545
0.53125,0.6545454545454545
0.53125,0.6909090909090909
0.5625,0.6909090909090909
0.625,0.7090909090909091
0.625,0.7454545454545455
0.65625,0.7636363636363637
0.65625,0.8
0.71875,0.8363636363636363
0.71875,0.8545454545454545
0.75,0.8545454545454545
0.75,0.8909090909090909
0.8125,0.8909090909090909
0.8125,0.9090909090909091
0.84375,0.9090909090909091
0.84375,0.9636363636363636
0.90625,0.9636363636363636
1.0,0.9636363636363636
1.0,1.0
