size,mean_correlation,std_dev
1000,0.18293484732538262,0.0020050922167277317
2000,0.2567309703346771,0.0024811715527159922
5000,0.3568450655205242,0.0029763618226697494
10000,0.4393894320893514,0.0023011769150962794
20000,0.5227487240132556,0.0014467602758527218
40000,0.6007889423301913,0.0021722769337518214
80000,0.6527675860749702,0.0019973915223512823
160000,0.6769597848558562,0.0008369919225440054
200000,0.6806675755918626,0.0006201463741498334
