FPR,TPR
0.0,0.0
0.0,0.024390243902439025
0.0,0.12195121951219512
0.0,0.17073170731707318
0.0,0.21951219512195122
0.02,0.21951219512195122
0.02,0.3170731707317073
0.04,0.3170731707317073
0.04,0.36585365853658536
0.04,0.4634146341463415
0.04,0.5365853658536586
0.06,0.5365853658536586
0.06,0.5853658536585366
0.06,0.6097560975609756
0.1,0.6097560975609756
0.1,0.6341463414634146
0.14,0.6341463414634146
0.16,0.6585365853658537
0.2,0.6585365853658537
0.2,0.6829268292682927
0.22,0.7073170731707317
0.22,0.7317073170731707
0.24,0.7317073170731707
0.24,0.7560975609756098
0.26,0.7804878048780488
0.3,0.8292682926829268
0.32,0.8292682926829268
0.32,0.8536585365853658
0.36,0.8536585365853658
0.38,0.8536585365853658
0.4,0.8780487804878049
0.42,0.8780487804878049
0.42,0.9024390243902439
0.46,0.9024390243902439
0.46,0.926829268292683
0.5,0.926829268292683
0.52,0.926829268292683
0.54,0.9512195121951219
0.6,0.9512195121951219
0.64,0.9512195121951219
0.7,0.9512195121951219
0.72,0.975609756097561
0.84,0.975609756097561
0.88,0.975609756097561
0.92,0.975609756097561
0.92,1.0
1.0,1.0
