FPR,TPR
0.0,0.0
0.0,0.029411764705882353
0.02,0.029411764705882353
0.02,0.058823529411764705
0.04,0.058823529411764705
0.06,0.08823529411764706
0.06,0.14705882352941177
0.08,0.14705882352941177
0.08,0.20588235294117646
0.18,0.20588235294117646
0.18,0.2647058823529412
0.2,0.2647058823529412
0.2,0.38235294117647056
0.22,0.38235294117647056
0.22,0.47058823529411764
0.24,0.47058823529411764
0.24,0.5882352941176471
0.26,0.5882352941176471
0.28,0.6176470588235294
0.32,0.6176470588235294
0.32,0.6470588235294118
0.34,0.6764705882352942
0.34,0.7058823529411765
0.36,0.7647058823529411
0.38,0.7941176470588235
0.4,0.7941176470588235
0.4,0.8529411764705882
0.42,0.8529411764705882
0.46,0.8823529411764706
0.48,0.8823529411764706
0.52,0.8823529411764706
0.52,0.9117647058823529
0.54,0.9117647058823529
0.54,0.9411764705882353
0.62,0.9411764705882353
0.66,0.9411764705882353
0.66,0.9705882352941176
0.68,0.9705882352941176
0.7,1.0
0.78,1.0
0.84,1.0
1.0,1.0
