fold	study	n_studies	rep	studies	n_train	n_train_case	n_train_ctrl
PRJNA290926_n3_r3	PRJNA290926	3	3	PRJEB36789;PRJNA318004;PRJNA824020	440	175	265
PRJNA290926_n3_r4	PRJNA290926	3	4	PRJEB6070;PRJNA430990;PRJNA824020	296	94	202
PRJNA290926_n4_r0	PRJNA290926	4	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA430990	492	171	321
PRJNA290926_n4_r1	PRJNA290926	4	1	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA824020	405	170	235
PRJNA290926_n4_r2	PRJNA290926	4	2	PRJEB36789;PRJEB6070;PRJNA318004;PRJNA824020	531	216	315
PRJNA290926_n4_r3	PRJNA290926	4	3	PRJEB36789;PRJEB6070;PRJNA430990;PRJNA824020	449	145	304
PRJNA290926_n4_r4	PRJNA290926	4	4	PRJEB6070;PRJNA318004;PRJNA430990;PRJNA824020	524	192	332
PRJNA290926_n5_r0	PRJNA290926	5	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA318004;PRJNA430990	720	269	451
PRJNA290926_n5_r1	PRJNA290926	5	1	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA318004;PRJNA824020	633	268	365
PRJNA290926_n5_r2	PRJNA290926	5	2	PRJDB11845;PRJEB36789;PRJNA318004;PRJNA430990;PRJNA824020	688	254	434
PRJNA290926_n5_r3	PRJNA290926	5	3	PRJDB11845;PRJEB6070;PRJNA318004;PRJNA430990;PRJNA824020	626	244	382
PRJNA290926_n5_r4	PRJNA290926	5	4	PRJEB36789;PRJEB6070;PRJNA318004;PRJNA430990;PRJNA824020	677	243	434
PRJNA318004_n2_r0	PRJNA318004	2	0	PRJDB11845;PRJNA430990	248	79	169
PRJNA318004_n2_r1	PRJNA318004	2	1	PRJEB36789;PRJEB6070	244	92	152
PRJNA318004_n2_r2	PRJNA318004	2	2	PRJEB6070;PRJNA290926	346	166	180
PRJNA318004_n2_r3	PRJNA318004	2	3	PRJEB6070;PRJNA430990	237	68	169
PRJNA318004_n2_r4	PRJNA318004	2	4	PRJNA290926;PRJNA824020	314	151	163
PRJNA318004_n3_r0	PRJNA318004	3	0	PRJDB11845;PRJEB6070;PRJNA290926	448	218	230
PRJNA318004_n3_r1	PRJNA318004	3	1	PRJEB36789;PRJNA290926;PRJNA430990	554	203	351
PRJNA318004_n3_r2	PRJNA318004	3	2	PRJEB36789;PRJNA290926;PRJNA824020	467	202	265
PRJNA318004_n3_r3	PRJNA318004	3	3	PRJEB6070;PRJNA290926;PRJNA430990	492	193	299
PRJNA318004_n3_r4	PRJNA318004	3	4	PRJEB6070;PRJNA290926;PRJNA824020	405	192	213
PRJNA318004_n4_r0	PRJNA318004	4	0	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA430990	594	245	349
PRJNA318004_n4_r1	PRJNA318004	4	1	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA824020	507	244	263
PRJNA318004_n4_r2	PRJNA318004	4	2	PRJDB11845;PRJNA290926;PRJNA430990;PRJNA824020	562	230	332
PRJNA318004_n4_r3	PRJNA318004	4	3	PRJEB36789;PRJEB6070;PRJNA290926;PRJNA824020	558	243	315
PRJNA318004_n4_r4	PRJNA318004	4	4	PRJEB36789;PRJNA290926;PRJNA430990;PRJNA824020	613	229	384
PRJNA318004_n5_r0	PRJNA318004	5	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926;PRJNA430990	747	296	451
PRJNA318004_n5_r1	PRJNA318004	5	1	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926;PRJNA824020	660	295	365
PRJNA318004_n5_r2	PRJNA318004	5	2	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA430990;PRJNA824020	551	197	354
PRJNA318004_n5_r3	PRJNA318004	5	3	PRJDB11845;PRJEB36789;PRJNA290926;PRJNA430990;PRJNA824020	715	281	434
PRJNA318004_n5_r4	PRJNA318004	5	4	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA430990;PRJNA824020	653	271	382
PRJNA430990_n2_r0	PRJNA430990	2	0	PRJDB11845;PRJEB6070	193	93	100
PRJNA430990_n2_r1	PRJNA430990	2	1	PRJEB36789;PRJEB6070	244	92	152
PRJNA430990_n2_r2	PRJNA430990	2	2	PRJEB36789;PRJNA290926	408	176	232
PRJNA430990_n2_r3	PRJNA430990	2	3	PRJEB36789;PRJNA824020	212	77	135
PRJNA430990_n2_r4	PRJNA430990	2	4	PRJEB6070;PRJNA824020	150	67	83
PRJNA430990_n3_r0	PRJNA430990	3	0	PRJDB11845;PRJEB36789;PRJNA824020	314	129	185
PRJNA430990_n3_r1	PRJNA430990	3	1	PRJDB11845;PRJEB6070;PRJNA318004	421	191	230
PRJNA430990_n3_r2	PRJNA430990	3	2	PRJDB11845;PRJEB6070;PRJNA824020	252	119	133
PRJNA430990_n3_r3	PRJNA430990	3	3	PRJDB11845;PRJNA290926;PRJNA318004	585	275	310
PRJNA430990_n3_r4	PRJNA430990	3	4	PRJEB36789;PRJNA290926;PRJNA318004	636	274	362
PRJNA430990_n4_r0	PRJNA430990	4	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA824020	405	170	235
PRJNA430990_n4_r1	PRJNA430990	4	1	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA824020	507	244	263
PRJNA430990_n4_r2	PRJNA430990	4	2	PRJDB11845;PRJEB6070;PRJNA318004;PRJNA824020	480	217	263
PRJNA430990_n4_r3	PRJNA430990	4	3	PRJDB11845;PRJNA290926;PRJNA318004;PRJNA824020	644	301	343
PRJNA430990_n4_r4	PRJNA430990	4	4	PRJEB36789;PRJEB6070;PRJNA290926;PRJNA318004	727	315	412
PRJNA430990_n5_r0	PRJNA430990	5	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926;PRJNA318004	829	367	462
PRJNA430990_n5_r1	PRJNA430990	5	1	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926;PRJNA824020	660	295	365
PRJNA430990_n5_r2	PRJNA430990	5	2	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA318004;PRJNA824020	633	268	365
PRJNA430990_n5_r3	PRJNA430990	5	3	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA318004;PRJNA824020	735	342	393
PRJNA430990_n5_r4	PRJNA430990	5	4	PRJEB36789;PRJEB6070;PRJNA290926;PRJNA318004;PRJNA824020	786	341	445
