FPR,TPR
0.0,0.0
0.0,0.041666666666666664
0.03571428571428571,0.041666666666666664
0.03571428571428571,0.08333333333333333
0.10714285714285714,0.08333333333333333
0.10714285714285714,0.125
0.14285714285714285,0.125
0.14285714285714285,0.16666666666666666
0.21428571428571427,0.25
0.2857142857142857,0.25
0.2857142857142857,0.2916666666666667
0.35714285714285715,0.3333333333333333
0.35714285714285715,0.5
0.42857142857142855,0.5
0.42857142857142855,0.5833333333333334
0.5357142857142857,0.5833333333333334
0.5357142857142857,0.6666666666666666
0.5714285714285714,0.6666666666666666
0.5714285714285714,0.7083333333333334
0.6071428571428571,0.7083333333333334
0.6071428571428571,0.75
0.7142857142857143,0.75
0.75,0.7916666666666666
0.8214285714285714,0.7916666666666666
0.8214285714285714,0.8333333333333334
0.8928571428571429,0.8333333333333334
0.8928571428571429,0.875
0.9285714285714286,0.9166666666666666
0.9285714285714286,1.0
1.0,1.0
