task,source,fid,group,importance,n_folds_nonzero,n_folds_same_sign,n_folds
lodo,grad,DQ441283.1.1315,Disease,0.0011470793279564618,11,11,13
lodo,grad,DQ794709.1.1288,Disease,0.0011693519771336306,13,13,13
lodo,grad,DQ808288.1.1299,Disease,0.0011753532708325691,12,12,13
lodo,grad,DQ803256.1.1283,Disease,0.0012329987244109064,8,8,13
lodo,grad,DQ804982.1.1277,Disease,0.0012415734531035691,12,12,13
lodo,grad,DQ808102.1.1318,Disease,0.0012808501405049307,13,13,13
lodo,grad,DQ804326.1.1231,Disease,0.0013420780546218537,12,12,13
lodo,grad,HQ802530.1.1345,Disease,0.0013423520112890385,12,12,13
lodo,grad,JF057160.1.1343,Disease,0.0013584261507824818,13,13,13
lodo,grad,JQ449887.1.1241,Disease,0.0014114585547136077,13,13,13
lodo,grad,JN004064.1.1431,Disease,0.0014165489191456692,9,9,13
lodo,grad,HQ766049.1.1250,Disease,0.0014238706106612076,10,10,13
lodo,grad,JQ465376.1.1220,Disease,0.0014553827240901,9,9,13
lodo,grad,DQ807295.1.1342,Disease,0.0015029894576717847,8,8,13
lodo,grad,MG245801.1.1200,Disease,0.0015063542834098307,11,11,13
lodo,grad,AY653235.1.1324,Disease,0.0016225601800847695,13,13,13
lodo,grad,JQ522962.1.1258,Disease,0.0016500559808375877,4,4,13
lodo,grad,HQ794629.1.1311,Disease,0.0017396595506892693,5,5,13
lodo,grad,JQ467142.1.1299,Disease,0.001741114466701294,11,11,13
lodo,grad,KX130890.1.1202,Disease,0.0017430760068872998,12,12,13
lodo,grad,FJ364934.1.1401,Disease,0.0018671085349738078,9,9,13
lodo,grad,JN698650.1.1277,Disease,0.0019129300059268768,13,13,13
lodo,grad,DQ795411.1.1205,Disease,0.0019219592467998822,10,10,13
lodo,grad,HQ807131.1.1274,Disease,0.0020367768128965996,13,13,13
lodo,grad,HK694993.1.1204,Disease,0.0021566556935544616,10,10,13
lodo,grad,KX792217.1.1200,Disease,0.0023088382213061615,13,13,13
lodo,grad,GQ491160.1.1334,Disease,0.002487039946812861,10,10,13
lodo,grad,KJ412985.1.1234,Disease,0.002507009132576493,13,13,13
lodo,grad,MH813973.1.1314,Disease,0.0025860503764175307,10,10,13
lodo,grad,KF084610.1.1355,Disease,0.002883849895276069,9,9,13
lodo,grad,JX048331.1.1329,Disease,0.002934556077420246,7,7,13
