,t_SNE_1,t_SNE_2,group,emb_type,fid
0,-0.2677319167966447,0.42146179212265744,Ctrl,Phylo,DQ807243.1.1327
1,0.39702558852145436,0.5262768956886066,Ctrl,Phylo,DQ800956.1.1278
2,0.12436608774544913,0.20388764304784918,Ctrl,Phylo,JX048342.1.1227
3,-0.009507022331750301,-0.5466845351029394,Ctrl,Phylo,FJ366501.1.1310
4,0.6615937570673872,0.37325574287275426,Ctrl,Phylo,FJ362935.1.1246
5,0.3508864421984898,0.6102612078117935,Ctrl,Phylo,FJ371179.1.1259
6,-0.10395318375019232,-0.22066249106495536,Ctrl,Phylo,GQ491939.1.1201
7,0.42915934387471916,-0.22050038282479092,Ctrl,Phylo,DQ824266.1.1288
8,0.017489178662421834,-0.7670384570385407,Ctrl,Phylo,HQ806883.1.1241
9,-0.2906837471679316,0.0673306276253906,Ctrl,Phylo,FJ372349.1.1359
10,0.7718892150919895,-0.025981395982536563,Ctrl,Phylo,ACBX02000025.1.1217
11,-0.0906875667934029,0.5942221768693629,Ctrl,Phylo,DQ809255.1.1206
12,-0.7097773214319506,0.3636212063073233,Ctrl,Phylo,JF173891.1.1387
13,-0.2151042593850901,0.7474261984395768,Ctrl,Phylo,FJ369668.1.1239
14,-0.3673587908699254,-0.0714576417248279,Ctrl,Phylo,FJ372235.1.1260
15,0.1275379392426008,0.583235331853363,Ctrl,Phylo,FJ678732.1.1279
16,0.012042635851259496,-0.24848473615950664,Ctrl,Phylo,FJ367633.1.1229
17,0.16926330070972853,0.01889929277095789,Ctrl,Phylo,DQ796280.1.1284
18,-0.7320483727885064,-0.12396626121311916,Ctrl,Phylo,HK693740.1.1297
19,-0.40898434792668364,-0.6002147151921295,Ctrl,Phylo,FJ364454.1.1206
20,-0.3326141589183002,0.7233492925392611,Ctrl,Phylo,GQ133046.1.1200
21,-0.22421567309820886,0.42016232083631627,Ctrl,Phylo,DQ799321.1.1327
22,-0.13363405257532177,0.7522325840878284,Ctrl,Phylo,FJ382054.1.1201
23,0.016476738976898605,-0.2538326095404945,Ctrl,Phylo,AF153858.1.1349
24,-0.4095645259889211,-0.5977450972489196,Ctrl,Phylo,FJ368472.1.1344
25,-0.5271868695267443,-0.4131871756415369,Ctrl,Phylo,FJ032489.1.1260
26,-0.02860850611571286,0.5713613413082905,Ctrl,Phylo,JF161844.1.1333
27,-0.16741873885905836,-0.7195433075538168,Ctrl,Phylo,HQ812850.1.1359
28,-0.6750812736091633,-0.15100421076112588,Ctrl,Phylo,DQ800964.1.1299
29,0.015780080327475795,-0.7633784957469264,Ctrl,Phylo,DQ797636.1.1248
30,-0.5620906101640005,-0.27044699004652906,Ctrl,Phylo,AY916384.1.1351
31,0.14437727274220533,0.5525013443716696,Ctrl,Phylo,FJ363488.1.1201
32,0.6232632417823,-0.33917934254460164,Ctrl,Phylo,FJ365305.1.1340
