otu,n_folds_in_top,mean_rank_diff,case_minus_control,enrichment,frac_folds
JQ467804.1.1375,7,3.0,2.751420520144887,1.1726843225646049,1.0
GQ491160.1.1334,5,13.6,0.9269642049449791,0.8238192391375279,0.7142857142857143
KF100359.1.1360,5,10.8,0.9115269926302384,0.4923270369852202,0.7142857142857143
JQ449887.1.1241,5,18.4,0.2623005993052264,0.9837834931653671,0.7142857142857143
FJ557734.1.1287,4,4.0,11.22521482845119,5.5208586626508565,0.5714285714285714
KF101798.1.1358,4,9.25,1.6973783395336712,0.7064570137793125,0.5714285714285714
DQ440555.1.1321,4,13.75,0.44332652601434924,0.8067172971630919,0.5714285714285714
JQ467142.1.1299,3,6.0,2.0122206655071593,1.9525421247168764,0.42857142857142855
GQ014747.1.1357,3,3.6666666666666665,1.3016991248043295,0.6041223325013517,0.42857142857142855
AJ006962.1.1476,3,14.333333333333334,0.9471285977927407,0.3948450631808358,0.42857142857142855
DQ326634.1.1352,3,11.666666666666666,0.2893749583809391,0.746561011851624,0.42857142857142855
EU156766.1.1269,3,16.0,-0.15010319713623796,0.3863765980356524,0.42857142857142855
JF803519.1.1479,2,16.0,2.741497807537291,0.9835928631568538,0.2857142857142857
GQ014737.1.1357,2,4.0,2.162127138340631,1.2249494260994163,0.2857142857142857
FJ792537.1.1368,2,1.0,2.0615094726571637,0.9208624940590906,0.2857142857142857
JQ460165.1.1205,2,7.5,1.4817222677044832,0.8929195641841343,0.2857142857142857
X55410.1.1333,2,14.0,1.089025178990761,0.6155101780963272,0.2857142857142857
KF101479.1.1371,2,2.0,1.0794284750346739,0.3990924219874649,0.2857142857142857
KJ574409.1.1223,2,15.0,-0.999135597802014,2.9071327169578525,0.2857142857142857
KF083703.1.1340,2,12.5,0.7836964750147418,0.6012093686785809,0.2857142857142857
JQ466159.1.1285,2,17.0,0.6331272161873565,0.2796824668106275,0.2857142857142857
HQ810946.1.1476,2,13.0,0.6323162608145247,0.2303232831393713,0.2857142857142857
JQ460153.1.1289,2,13.5,0.6274492975933041,1.1237797384696693,0.2857142857142857
FJ369308.1.1240,2,7.5,-0.5852001102935247,1.0611646776289978,0.2857142857142857
JQ467297.1.1208,2,17.5,0.5726556793719928,0.36906587619177766,0.2857142857142857
LN611370.1.1200,2,7.5,0.4444111126751028,0.32200610079702197,0.2857142857142857
HK240304.1.1331,2,24.0,-0.3812127157613512,0.9474351274880857,0.2857142857142857
JQ475481.1.1262,2,20.5,0.33506899725838946,0.10322343613526304,0.2857142857142857
JF120145.1.1346,2,22.5,0.33375190310955816,0.17497067260656343,0.2857142857142857
JX030308.1.1232,2,20.5,-0.31934976277954297,0.4481445549624794,0.2857142857142857
DQ800246.1.1225,2,14.0,-0.30225214131253697,0.4225449814026711,0.2857142857142857
GU432132.1.1203,2,27.5,-0.204916429039877,0.5689353258590433,0.2857142857142857
KF842758.1.1325,2,25.0,-0.19087353558866554,0.26311346342314135,0.2857142857142857
EU767018.1.1359,2,23.0,0.17431142200595717,0.16119468897787753,0.2857142857142857
HK557112.1.1272,2,17.5,0.13971531018531935,1.5045960188186422,0.2857142857142857
HQ800862.1.1308,2,19.5,-0.09097514680664368,0.571370538071818,0.2857142857142857
U13039.1.1496,2,23.0,0.08768787332693867,0.16754326262888714,0.2857142857142857
