,t_SNE_1,t_SNE_2,group,emb_type,fid
0,0.337240390328064,-0.7036563824091209,Ctrl,Phylo,HQ794629.1.1311
1,0.6096072821373071,-0.42161598466382016,Ctrl,Phylo,KP334252.1.1211
2,0.3316890408396465,0.01961432447709584,Ctrl,Phylo,KC894545.1.1511
3,-0.22932325531544812,-0.07275575764168286,Ctrl,Phylo,JQ072269.1.1450
4,-0.47380303693719117,-0.3620373365888547,Ctrl,Phylo,JQ455259.1.1251
5,-0.12942777391747956,0.5958056346478193,Ctrl,Phylo,HQ781028.1.1329
6,0.31730523192324656,-0.18776356035008554,Ctrl,Phylo,JQ456273.1.1334
7,0.448165914443627,-0.602276165331266,Ctrl,Phylo,HM779421.1.1212
8,-0.1176426054479645,0.5818683585262401,Ctrl,Phylo,FJ371857.1.1374
9,0.35787315400550695,0.6913450232591513,Ctrl,Phylo,FJ511828.1.1372
10,-0.41321897706061456,0.4169574949111518,Ctrl,Phylo,FJ557711.1.1373
11,-0.6683560800002423,-0.4042592237315023,Ctrl,Phylo,DQ808480.1.1376
12,0.41405548210043663,0.6101743301518266,Ctrl,Phylo,DQ824299.1.1397
13,-0.18580831941286463,0.0015058892843514383,Ctrl,Phylo,KX130890.1.1202
14,0.6741282947766309,0.3911109513348817,Ctrl,Phylo,FJ368864.1.1363
15,0.6319478855419354,-0.4319979855819783,Ctrl,Phylo,JQ186757.1.1359
16,-0.4636140577287483,-0.5418088333022906,Ctrl,Phylo,HK555826.1.1289
17,-0.716604024916579,0.19092201953384463,Ctrl,Phylo,HL283484.1.1209
18,-0.1565434786535607,-0.751782188977268,Ctrl,Phylo,AY993744.1.1245
19,0.4142039300257601,0.6075365342756026,Ctrl,Phylo,GQ491419.1.1322
20,0.6925365772152701,0.37960348884648115,Ctrl,Phylo,GQ493144.1.1354
21,0.7075972952026469,-0.056577846406009526,Ctrl,Phylo,HQ452862.1.1498
22,-0.5422548815897504,0.5981387294772242,Ctrl,Phylo,DQ824080.1.1279
23,-0.7987937699808265,-0.10949005176339735,Ctrl,Phylo,AY990376.1.1278
24,0.41251681096517084,0.6084562604636286,Ctrl,Phylo,GQ492980.1.1322
25,-0.7572283698194171,0.02298279757711995,Ctrl,Phylo,AY992211.1.1268
26,0.6207182113202064,-0.45204450704558097,Ctrl,Phylo,HM445947.1.1481
27,-0.333345742423701,-0.6685206686145319,Ctrl,Phylo,DQ823722.1.1211
28,0.4260955802437643,-0.2751697888336688,Ctrl,Phylo,KF843417.1.1329
29,-0.3085058833882453,-0.37850987183292334,Ctrl,Phylo,DQ805252.1.1214
30,-0.5108388259600376,0.32450816558732065,Ctrl,Phylo,DQ796195.1.1288
31,-0.5599351050778841,-0.16131172084697443,Ctrl,Phylo,FJ362731.1.1336
32,0.4122595717178203,0.6113464565888171,Ctrl,Phylo,AF132280.1.1277
33,0.17934333412728545,0.6745222125579968,Ctrl,Phylo,FJ032586.1.1226
34,-0.5198758376032783,0.004076422809158525,Ctrl,Phylo,HQ779108.1.1442
35,0.7079913980099651,-0.059918147191551474,Ctrl,Phylo,GQ491354.1.1233
36,-0.10706264320104161,0.5638828312847006,Ctrl,Phylo,FJ371191.1.1358
37,-0.4019281666914351,0.4119067474473878,Ctrl,Phylo,JQ184073.1.1343
38,0.6747637085060602,0.3833026912617078,Ctrl,Phylo,DQ794427.1.1242
39,0.7197347828667517,-0.039616268879046866,Ctrl,Phylo,AY653232.1.1310
40,0.057856522169864075,-0.7730000205737764,Ctrl,Phylo,DQ800564.1.1381
41,0.18900682578036873,-0.48354749294701754,Ctrl,Phylo,CAGY01000009.11.1531
42,0.06688871156707729,-0.7830314985650606,Ctrl,Phylo,DQ803925.1.1280
43,0.10054181110390605,0.12598164088672875,Ctrl,Phylo,DQ799182.1.1290
44,-0.007159175982616604,-0.772940467536725,Ctrl,Phylo,FJ364871.1.1208
45,-0.224479928929614,-0.07102155051400189,Ctrl,Phylo,BAAV01001391.255.1549
46,-0.7556884979909737,0.044271636314724194,Ctrl,Phylo,DQ823754.1.1237
47,-0.7066347232761251,-0.3004554571042794,Ctrl,Phylo,HK555409.2.1317
48,-0.31533350061560866,-0.6616275772994861,Ctrl,Phylo,HQ813592.1.1431
49,-0.38798960423869877,-0.6794588256104781,Ctrl,Phylo,HQ900326.1.1225
50,-0.5763484012609341,-0.2997747232408928,AS,Phylo,JQ456288.1.1319
51,0.4345393276498289,0.5939545970946833,AS,Phylo,BAAV01000888.1.1300
52,0.3291601157540295,0.019340619163546485,AS,Phylo,HQ452854.1.1503
53,0.4839549707576799,0.2051607780042563,AS,Phylo,AY995270.1.1330
54,0.6938078427295729,-0.1973745220330391,AS,Phylo,ABIK02000013.103269.104574
55,-0.13613144718161077,-0.5702515135661945,AS,Phylo,MH355962.1.1200
56,-0.40163545386365584,0.6879050895428109,AS,Phylo,HK557112.1.1272
57,-0.4029399090907843,0.4125717391136384,AS,Phylo,CP012069.2692071.2693595
58,-0.49038137538895754,0.33436055021246497,AS,Phylo,JQ607698.1.1387
59,-0.30771969830685125,-0.37921116908983876,AS,Phylo,FJ369709.1.1241
60,-0.5006454291900935,0.0013349659324428176,AS,Phylo,HQ793586.1.1449
61,0.44761506707405985,-0.6042934584653357,AS,Phylo,JQ207644.1.1336
62,0.40917848404379586,0.3753612716107495,AS,Phylo,FJ363080.1.1346
63,-0.4003736175230039,0.41132917825519294,AS,Phylo,JX905358.1.1469
64,0.6222495118383098,-0.44254649302611426,AS,Phylo,LT558846.1.1494
65,-0.42986091805425397,0.4232057281847338,AS,Phylo,HK240436.1.1267
66,-0.4966749237156248,0.32334461740507264,AS,Phylo,EF098031.1.1281
67,0.17624677028785088,-0.5181842029153356,AS,Phylo,JQ451979.1.1251
68,0.01132942471889248,0.2921624187322168,AS,Phylo,HG800468.1.1200
69,0.02334223971149158,0.36336037583319974,AS,Phylo,AY995250.1.1365
70,-0.53104668412292,-0.603067230740907,AS,Phylo,AY850453.1.1227
71,0.0919173911533722,-0.16192418749798645,AS,Phylo,JN004064.1.1431
72,-0.6766177079152885,0.4456679120903536,AS,Phylo,KX881774.1.1210
73,-0.09207296667350198,-0.3787201568666393,AS,Phylo,HQ008625.1.1282
74,-0.7453002874490781,0.30162439095313703,AS,Phylo,GQ448970.1.1284
75,0.5302738378490014,0.170806167997821,AS,Phylo,MF581529.1.1403
76,0.19009811063113843,-0.47608776234735006,AS,Phylo,JF090188.1.1364
77,0.7110699674259643,-0.057716245344577574,AS,Phylo,KR185326.1.1423
78,-0.7141769021913598,-0.19517008055363222,AS,Phylo,DQ808462.1.1241
79,0.7324926485587088,-0.0028834907781526134,AS,Phylo,FJ557701.1.1386
80,0.04111744637448846,0.5997767618996911,AS,Phylo,HK241304.1.1252
81,0.5300416603805485,0.16900763386059708,AS,Phylo,JF057160.1.1343
82,0.19553666057736022,-0.7300826203845577,AS,Phylo,DQ800305.1.1380
83,0.016986033043816837,0.7590131181761898,AS,Phylo,MG881800.1.1219
84,-0.6038330671751977,-0.48137334247128477,AS,Phylo,FJ363503.1.1363
85,0.18944287177869734,0.4680505165678001,AS,Phylo,JQ449887.1.1241
86,-0.7614344638363987,0.016859657260731808,AS,Phylo,AY990161.1.1294
87,-0.17118402820302234,0.01552247199508618,AS,Phylo,AF338413.1.1408
88,-0.06457497020977035,-0.7683401697578581,AS,Phylo,DQ807131.1.1283
89,0.40708107094383805,-0.4426420956669183,AS,Phylo,JQ460078.1.1253
90,0.7193755475233304,0.08258660388040857,AS,Phylo,DQ800246.1.1225
91,-0.3441772852931429,0.702507276913647,AS,Phylo,MH813973.1.1314
92,0.10392242052494738,-0.187691832408131,AS,Phylo,AB733112.1.1328
93,-0.07686304429987645,-0.3650273811783473,AS,Phylo,FJ557746.1.1357
94,0.18921109982617101,-0.48326436348532825,AS,Phylo,JQ470107.1.1403
95,0.7326706436424101,-0.0030267674453292484,AS,Phylo,FJ557765.1.1386
96,0.044498809557229846,0.7484799213544362,AS,Phylo,FJ558058.1.1360
97,-0.19792870373852162,0.7645662522960122,AS,Phylo,LC190799.1.1211
98,0.0513344214810537,0.7438744822088362,AS,Phylo,AM943044.1.1276
99,0.3007554080878866,0.26329325136141135,AS,Phylo,JQ467142.1.1299
0,0.7109715345454375,0.6103179728634934,Ctrl,SNE,HQ794629.1.1311
1,0.3175447765041188,0.6857909427483618,Ctrl,SNE,KP334252.1.1211
2,0.3668248481293971,-0.15396905717094905,Ctrl,SNE,KC894545.1.1511
3,0.007362042213941971,0.39743418087051247,Ctrl,SNE,JQ072269.1.1450
4,-0.19736213109356457,-0.2162105640701879,Ctrl,SNE,JQ455259.1.1251
5,0.12829354711644078,0.22097971008727307,Ctrl,SNE,HQ781028.1.1329
6,0.31962601179369293,-0.6766368320151865,Ctrl,SNE,JQ456273.1.1334
7,0.08048672116232414,0.46888028287476685,Ctrl,SNE,HM779421.1.1212
8,-0.32725228114090266,-0.3942351453129437,Ctrl,SNE,FJ371857.1.1374
