task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
lodo,attn,AS,HK557112.1.1272,AS,0.1792491592934186,0.1792491592934186,0.1792491592934186
lodo,attn,AS,CP012069.2692071.2693595,AS,0.1811988120806981,0.1811988120806981,0.1811988120806981
lodo,attn,AS,JQ607698.1.1387,AS,0.1952163825738319,0.1952163825738319,0.1952163825738319
lodo,attn,AS,FJ369709.1.1241,AS,0.1978750690972861,0.1978750690972861,0.1978750690972861
lodo,attn,AS,HQ793586.1.1449,AS,0.201326544114326,0.201326544114326,0.201326544114326
lodo,attn,AS,JQ207644.1.1336,AS,0.2015023993685813,0.2015023993685813,0.2015023993685813
lodo,attn,AS,FJ363080.1.1346,AS,0.2026173492901593,0.2026173492901593,0.2026173492901593
lodo,attn,AS,JX905358.1.1469,AS,0.203366874925609,0.203366874925609,0.203366874925609
lodo,attn,AS,LT558846.1.1494,AS,0.2258882503399406,0.2258882503399406,0.2258882503399406
lodo,attn,AS,HK240436.1.1267,AS,0.229603173344417,0.229603173344417,0.229603173344417
lodo,attn,AS,EF098031.1.1281,AS,0.2319192104350525,0.2319192104350525,0.2319192104350525
lodo,attn,AS,JQ451979.1.1251,AS,0.2339641533682612,0.2339641533682612,0.2339641533682612
lodo,attn,AS,HG800468.1.1200,AS,0.2342606176682691,0.2342606176682691,0.2342606176682691
lodo,attn,AS,AY995250.1.1365,AS,0.2356155683222737,0.2356155683222737,0.2356155683222737
lodo,attn,AS,AY850453.1.1227,AS,0.2390130152130026,0.2390130152130026,0.2390130152130026
lodo,attn,AS,JN004064.1.1431,AS,0.2461476536370389,0.2461476536370389,0.2461476536370389
lodo,attn,AS,KX881774.1.1210,AS,0.249518477650863,0.249518477650863,0.249518477650863
lodo,attn,AS,HQ008625.1.1282,AS,0.2495189393535876,0.2495189393535876,0.2495189393535876
lodo,attn,AS,GQ448970.1.1284,AS,0.2521267632834982,0.2521267632834982,0.2521267632834982
lodo,attn,AS,MF581529.1.1403,AS,0.2627774421305528,0.2627774421305528,0.2627774421305528
lodo,attn,AS,JF090188.1.1364,AS,0.2688425459057846,0.2688425459057846,0.2688425459057846
lodo,attn,AS,KR185326.1.1423,AS,0.2717902982176027,0.2717902982176027,0.2717902982176027
lodo,attn,AS,DQ808462.1.1241,AS,0.2747133732587913,0.2747133732587913,0.2747133732587913
lodo,attn,AS,FJ557701.1.1386,AS,0.2851008574376503,0.2851008574376503,0.2851008574376503
lodo,attn,AS,HK241304.1.1252,AS,0.2972044436551923,0.2972044436551923,0.2972044436551923
lodo,attn,AS,JF057160.1.1343,AS,0.3027768199468992,0.3027768199468992,0.3027768199468992
lodo,attn,AS,DQ800305.1.1380,AS,0.3251428787548825,0.3251428787548825,0.3251428787548825
lodo,attn,AS,MG881800.1.1219,AS,0.3266444843323028,0.3266444843323028,0.3266444843323028
lodo,attn,AS,FJ363503.1.1363,AS,0.3412069694990081,0.3412069694990081,0.3412069694990081
lodo,attn,AS,JQ449887.1.1241,AS,0.3669563844781882,0.3669563844781882,0.3669563844781882
lodo,attn,AS,AY990161.1.1294,AS,0.4381909867969898,0.4381909867969898,0.4381909867969898
lodo,attn,AS,AF338413.1.1408,AS,0.4617939583850212,0.4617939583850212,0.4617939583850212
lodo,attn,AS,DQ807131.1.1283,AS,0.4632672562249382,0.4632672562249382,0.4632672562249382
lodo,attn,AS,JQ460078.1.1253,AS,0.5671347610250075,0.5671347610250075,0.5671347610250075
lodo,attn,AS,DQ800246.1.1225,AS,0.5682305529777536,0.5682305529777536,0.5682305529777536
lodo,attn,AS,MH813973.1.1314,AS,0.5779097724236231,0.5779097724236231,0.5779097724236231
lodo,attn,AS,AB733112.1.1328,AS,0.6264408862722151,0.6264408862722151,0.6264408862722151
lodo,attn,AS,FJ557746.1.1357,AS,0.6701321625330598,0.6701321625330598,0.6701321625330598
lodo,attn,AS,JQ470107.1.1403,AS,0.8297281870643795,0.8297281870643795,0.8297281870643795
lodo,attn,AS,FJ557765.1.1386,AS,0.8770556990868633,0.8770556990868633,0.8770556990868633
lodo,attn,AS,FJ558058.1.1360,AS,0.9771719584102648,0.9771719584102648,0.9771719584102648
lodo,attn,AS,LC190799.1.1211,AS,0.9828402001193792,0.9828402001193792,0.9828402001193792
lodo,attn,AS,AM943044.1.1276,AS,1.3930011860965656,1.3930011860965656,1.3930011860965656
lodo,attn,AS,JQ467142.1.1299,AS,1.5411981689115926,1.5411981689115926,1.5411981689115926
lodo,attn,ASD,KC632239.1.1415,Ctrl,-0.5229040256992744,-0.5229040256992744,-0.5229040256992744
lodo,attn,ASD,KC160493.1.1379,Ctrl,-0.501569178211376,-0.501569178211376,-0.501569178211376
