fold,disease,spearman_attn_vs_grad,top30_overlap
AS,AS,0.46638917295844784,15
ASD,ASD,0.47317765128440237,7
BD,BD,0.36695037141977827,4
CAD,CAD,0.48210923377904624,14
CRC,CRC,0.4874098281589208,6
GD,GD,0.4493348943483582,8
IBD,IBD,0.757712708434774,10
IBS,IBS,0.4803652412619407,1
MS,MS,0.4792846169169314,7
OB,OB,0.45539167450038076,4
PD,PD,0.5229271402227778,2
SZ,SZ,0.49873072986753597,8
T2DM,T2DM,0.5002551339599524,5
