,t_SNE_1,t_SNE_2,group,emb_type,fid
0,0.4134478599283866,0.10224661935451063,Ctrl,Phylo,KJ874032.1.1319
1,-0.5010816595869857,0.10945681957482503,Ctrl,Phylo,KJ874096.1.1303
2,-0.44296783845885357,0.5216991038959767,Ctrl,Phylo,JN657222.1.1286
3,-0.6469209349276764,0.3991792423266293,Ctrl,Phylo,KM978308.1.1527
4,-0.1350511847003524,-0.7548702413571817,Ctrl,Phylo,GQ491419.1.1322
5,-0.06835961567669177,0.7392920063952414,Ctrl,Phylo,GQ014737.1.1357
6,0.6156036041744504,-0.4447400905433747,Ctrl,Phylo,EU776550.1.1288
7,0.7274263944478071,-0.10980092904792241,Ctrl,Phylo,HK557112.1.1272
8,0.6870532341444339,-0.14686520173286194,Ctrl,Phylo,GU432132.1.1203
9,-0.4440742381767888,0.5204996849060517,Ctrl,Phylo,KF096013.1.1247
10,0.6164659923614105,-0.44132268522240337,Ctrl,Phylo,DQ794702.1.1380
11,-0.06551483976201965,0.7385347726407142,Ctrl,Phylo,KF100146.1.1366
12,-0.6950261535070404,0.259402033793143,Ctrl,Phylo,GQ491354.1.1233
13,0.4086517384426361,0.10142109597531938,Ctrl,Phylo,DQ798020.1.1303
14,0.03321034353502397,0.21965696093279669,Ctrl,Phylo,JF101079.1.1256
15,0.24697363623377133,0.741869151819767,Ctrl,Phylo,JQ460153.1.1289
16,-0.6720629035887747,-0.31009507156312904,Ctrl,Phylo,KU881628.1.1200
17,-0.4441683070073695,0.5215726354597505,Ctrl,Phylo,KF098872.1.1350
18,-0.13594986715406587,-0.7573670025955902,Ctrl,Phylo,FAUJ01000006.3367.4875
19,0.1449625335932584,0.4969930910211427,Ctrl,Phylo,JX030308.1.1232
20,-0.22046849973516508,-0.2829759997385895,Ctrl,Phylo,JQ457149.1.1334
21,0.5085381938285117,-0.5805109173849762,Ctrl,Phylo,EF071318.1.1509
22,-0.44401435136886847,0.5193046560532697,Ctrl,Phylo,GQ004007.1.1340
23,-0.4456577437772416,0.517689782350053,Ctrl,Phylo,GQ031841.1.1347
24,-0.2997457990880224,0.6859135433025249,Ctrl,Phylo,KP330262.1.1200
25,-0.446214482003016,0.5181435022833724,Ctrl,Phylo,GQ014659.1.1348
26,0.6834840935714046,-0.28676926058866925,Ctrl,Phylo,ACBX02000025.1.1217
27,0.25562260505276796,0.7438099448882163,Ctrl,Phylo,FNWE01000002.1073068.1074570
28,0.5779850984125501,0.2603386236156429,Ctrl,Phylo,FJ366441.1.1355
29,0.08574407211534073,-0.7543397460646599,Ctrl,Phylo,EU458570.1.1390
30,-0.06435959365020592,0.7431782442710602,Ctrl,Phylo,HM276114.1.1357
31,0.42653165838763885,0.098608707574069,Ctrl,Phylo,HK240304.1.1331
32,-0.0659503509955077,0.7381935811425978,Ctrl,Phylo,GQ014650.1.1368
33,0.331315413380604,0.5085264951081856,Ctrl,Phylo,LT700188.630817.632359
34,-0.46177427834559354,-0.6467942319478821,Ctrl,Phylo,GQ493169.1.1364
35,0.7646544400859456,0.15545119312392175,Ctrl,Phylo,KU324909.1.1217
36,0.40592688207202293,0.09944474208396602,Ctrl,Phylo,JF090188.1.1364
37,-0.3036983000277824,-0.4828619736927465,Ctrl,Phylo,HM262845.1.1341
38,0.6470337475474959,0.45437458647967865,Ctrl,Phylo,EU473498.1.1210
39,0.24533781125586018,0.7412435669777019,Ctrl,Phylo,JF120145.1.1346
40,0.7363592019617543,-0.012943258696726181,Ctrl,Phylo,MK131295.1.1339
41,-0.21125885712142314,-0.44877310421633604,Ctrl,Phylo,KF100217.1.1350
42,-0.14289542698484087,-0.7592854499918349,Ctrl,Phylo,DQ673535.1.1495
43,-0.19787138961325734,0.06635706582047528,Ctrl,Phylo,MG245801.1.1200
44,-0.050455000269145865,0.2760606394708993,Ctrl,Phylo,AQUW01000012.1.1214
45,-0.34670456606817474,-0.654164952023256,Ctrl,Phylo,DQ793812.1.1284
46,0.4128891055229804,-0.44018843448939776,Ctrl,Phylo,EU471747.1.1390
47,-0.7868038609579157,0.06074536024213868,Ctrl,Phylo,HK241616.1.1264
48,0.4099136444674942,-0.669341679273071,Ctrl,Phylo,GQ492365.1.1332
49,0.16026681159272577,-0.7620057098961189,Ctrl,Phylo,DQ804326.1.1231
50,-0.6802867653618515,0.05686853982003865,IBD,Phylo,HAAC01027432.1.1206
51,0.3118735763384187,-0.24312537164468853,IBD,Phylo,JQ466236.1.1307
52,0.4969661801130629,0.5939605506266136,IBD,Phylo,KX583579.1.1213
53,-0.45115247933634356,-0.2634566286127141,IBD,Phylo,AB525415.1.1503
54,-0.10105502548059027,-0.5898950198735083,IBD,Phylo,HQ800862.1.1308
55,-0.5072486667090521,-0.5121619246407058,IBD,Phylo,KF082861.1.1282
56,0.1448415083792605,0.4968593629051115,IBD,Phylo,HQ758472.1.1481
57,0.5828076685580799,0.5132739392551617,IBD,Phylo,DQ799541.1.1239
58,-0.6720091656983515,-0.3103455098343696,IBD,Phylo,KF945090.1.1201
59,-0.7629139851465846,-0.11193627969205991,IBD,Phylo,EF444719.1.1219
60,-0.5977896109269075,-0.10550675277581294,IBD,Phylo,KY608259.1.1216
61,-0.6564864360037873,0.03341381561838797,IBD,Phylo,EU706021.1.1244
62,0.7332276310584694,-0.012983675742358258,IBD,Phylo,AP010969.19547.20881
63,0.6755298134393448,0.32705866358992397,IBD,Phylo,FAGH01000127.1.1295
64,0.2131065984790574,-0.5250329674099341,IBD,Phylo,GQ492469.1.1357
65,-0.36301856327735343,0.25048884299501595,IBD,Phylo,FJ802321.1.1209
66,-0.22661365486433863,-0.6446396852189227,IBD,Phylo,CVOZ01000362.1.1219
67,-0.5119347044703491,-0.510747671297013,IBD,Phylo,JN032883.1.1399
68,0.28753296255573774,-0.7163597232500437,IBD,Phylo,DQ799787.1.1286
69,0.31632766229251125,-0.24320257966169842,IBD,Phylo,JQ467796.1.1273
70,-0.6724055880261579,-0.3090776844888537,IBD,Phylo,KT780158.1.1201
71,-0.7057871201744516,0.3128613461160862,IBD,Phylo,FJ557701.1.1386
72,0.008927651607293337,-0.356814153936987,IBD,Phylo,JQ754335.1.1237
73,0.2936311577764322,-0.7149845813893012,IBD,Phylo,FJ362751.1.1348
74,0.18232396502682463,0.0549640915065783,IBD,Phylo,KU291315.1.1376
75,-0.2763091839058993,-0.03354939290468024,IBD,Phylo,JX096007.1.1204
76,0.1939879353925528,-0.2757198179396762,IBD,Phylo,DQ440555.1.1321
77,-0.5253660971170937,-0.5085361361880608,IBD,Phylo,MK095934.1.1303
78,-0.6772690398503233,-0.29968115665320555,IBD,Phylo,KF079674.1.1363
79,-0.17643841455592857,0.0651914262994495,IBD,Phylo,HK241304.1.1252
80,-0.6835495893701383,-0.12429683757670977,IBD,Phylo,JQ522962.1.1258
