sample_file_name	sample_name	category
GCA_003472095.1_genomic.fna	GCA_003472095.1	geome
GCA_003472255.1_genomic.fna	GCA_003472255.1	geome
GCA_003472345.1_genomic.fna	GCA_003472345.1	geome
GCA_003472665.1_genomic.fna	GCA_003472665.1	geome
GCA_003472675.1_genomic.fna	GCA_003472675.1	geome
GCA_003473565.1_genomic.fna	GCA_003473565.1	geome
GCA_003473585.1_genomic.fna	GCA_003473585.1	geome
GCA_003473695.1_genomic.fna	GCA_003473695.1	geome
GCA_003473805.1_genomic.fna	GCA_003473805.1	geome
GCA_003474765.1_genomic.fna	GCA_003474765.1	geome
GCA_003474825.1_genomic.fna	GCA_003474825.1	geome
GCA_003475175.1_genomic.fna	GCA_003475175.1	geome
GCA_003475545.1_genomic.fna	GCA_003475545.1	geome
GCA_003475585.1_genomic.fna	GCA_003475585.1	geome
GCA_003475625.1_genomic.fna	GCA_003475625.1	geome
GCA_003475645.1_genomic.fna	GCA_003475645.1	geome
GCA_003475805.1_genomic.fna	GCA_003475805.1	geome
GCA_003477405.1_genomic.fna	GCA_003477405.1	geome
GCA_003477845.1_genomic.fna	GCA_003477845.1	geome
GCA_003478095.1_genomic.fna	GCA_003478095.1	geome
GCA_003478415.1_genomic.fna	GCA_003478415.1	geome
GCA_003478665.1_genomic.fna	GCA_003478665.1	geome
GCA_003479305.1_genomic.fna	GCA_003479305.1	geome
GCA_003479435.1_genomic.fna	GCA_003479435.1	geome
GCA_003479515.1_genomic.fna	GCA_003479515.1	geome
GCA_003479565.1_genomic.fna	GCA_003479565.1	geome
GCA_003479985.1_genomic.fna	GCA_003479985.1	geome
GCA_003480365.1_genomic.fna	GCA_003480365.1	geome
GCA_003480615.1_genomic.fna	GCA_003480615.1	geome
GCA_003480695.1_genomic.fna	GCA_003480695.1	geome
GCA_003480955.1_genomic.fna	GCA_003480955.1	geome
GCA_003481425.1_genomic.fna	GCA_003481425.1	geome
GCA_003481505.1_genomic.fna	GCA_003481505.1	geome
GCA_003481595.1_genomic.fna	GCA_003481595.1	geome
GCA_003481775.1_genomic.fna	GCA_003481775.1	geome
GCA_003573975.1_genomic.fna	GCA_003573975.1	geome
GCA_003602905.1_genomic.fna	GCA_003602905.1	geome
GCA_003603005.1_genomic.fna	GCA_003603005.1	geome
GCA_003603145.1_genomic.fna	GCA_003603145.1	geome
GCA_003603295.1_genomic.fna	GCA_003603295.1	geome
GCA_003604105.1_genomic.fna	GCA_003604105.1	geome
GCA_003635365.1_genomic.fna	GCA_003635365.1	geome
GCA_003635375.1_genomic.fna	GCA_003635375.1	geome
GCA_003635425.1_genomic.fna	GCA_003635425.1	geome
GCA_003635445.1_genomic.fna	GCA_003635445.1	geome
GCA_003955985.1_genomic.fna	GCA_003955985.1	geome
GCA_004116995.1_genomic.fna	GCA_004116995.1	geome
GCA_004296775.1_genomic.fna	GCA_004296775.1	geome
GCA_009740415.1_genomic.fna	GCA_009740415.1	geome
GCA_009911715.1_genomic.fna	GCA_009911715.1	geome
GCA_010202115.1_genomic.fna	GCA_010202115.1	geome
GCA_010202465.1_genomic.fna	GCA_010202465.1	geome
GCA_010206265.1_genomic.fna	GCA_010206265.1	geome
GCA_010604095.1_genomic.fna	GCA_010604095.1	geome
GCA_011959105.1_genomic.fna	GCA_011959105.1	geome
GCA_014204435.1_genomic.fna	GCA_014204435.1	geome
GCA_014610835.1_genomic.fna	GCA_014610835.1	geome
GCA_015074785.1_genomic.fna	GCA_015074785.1	geome
GCA_017161075.1_genomic.fna	GCA_017161075.1	geome
GCA_018223365.1_genomic.fna	GCA_018223365.1	geome
GCA_018223375.1_genomic.fna	GCA_018223375.1	geome
GCA_018223385.1_genomic.fna	GCA_018223385.1	geome
GCA_018223415.1_genomic.fna	GCA_018223415.1	geome
GCA_018228705.1_genomic.fna	GCA_018228705.1	geome
GCA_020099315.1_genomic.fna	GCA_020099315.1	geome
GCA_020540725.1_genomic.fna	GCA_020540725.1	geome
GCA_020555605.1_genomic.fna	GCA_020555605.1	geome
GCA_020555865.1_genomic.fna	GCA_020555865.1	geome
GCA_020558355.1_genomic.fna	GCA_020558355.1	geome
GCA_020735665.1_genomic.fna	GCA_020735665.1	geome
GCA_021531615.1_genomic.fna	GCA_021531615.1	geome
GCA_021733645.1_genomic.fna	GCA_021733645.1	geome
GCA_022835495.1_genomic.fna	GCA_022835495.1	geome
GCA_022845895.1_genomic.fna	GCA_022845895.1	geome
GCA_022846095.1_genomic.fna	GCA_022846095.1	geome
GCA_024460105.1_genomic.fna	GCA_024460105.1	geome
GCA_025150425.1_genomic.fna	GCA_025150425.1	geome
GCA_025232395.1_genomic.fna	GCA_025232395.1	geome
GCA_026015295.1_genomic.fna	GCA_026015295.1	geome
GCA_026015625.1_genomic.fna	GCA_026015625.1	geome
GCA_027676805.1_genomic.fna	GCA_027676805.1	geome
GCA_027681045.1_genomic.fna	GCA_027681045.1	geome
GCA_029269845.1_genomic.fna	GCA_029269845.1	geome
GCA_030686115.1_genomic.fna	GCA_030686115.1	geome
GCA_900095875.1_genomic.fna	GCA_900095875.1	geome
GCA_900104565.1_genomic.fna	GCA_900104565.1	geome
GCA_900107365.1_genomic.fna	GCA_900107365.1	geome
GCA_900112915.1_genomic.fna	GCA_900112915.1	geome
