"KO","r2","F","p_value","description"
"K00087",0.00554680209356567,6.19129219637462,0.001,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"
"K00090",0.0101156359011951,11.3430985047925,0.001,"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]"
"K00096",0.00857738899811852,9.60327279432352,0.001,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"
"K00097",0.0198331568635234,22.4602620183161,0.001,"pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"
"K00100",0.00548512830141866,6.12207276918431,0.001,"bdhAB; butanol dehydrogenase [EC:1.1.1.-]"
"K00101",0.0138869728956672,15.6316157382633,0.001,"lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]"
"K00104",0.0140291288097931,15.7939077450354,0.001,"glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]"
"K00108",0.0123756448687242,13.9090998849031,0.001,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
"K00111",0.00464841463409144,5.18383686699478,0.001,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
"K00112",0.00414284997563254,4.61769388595502,0.001,"glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]"
"K00113",0.00504271752279832,5.6257856984271,0.001,"glpC; glycerol-3-phosphate dehydrogenase subunit C"
"K00116",0.0213061950809355,24.1647350999572,0.001,"mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]"
"K00117",0.0105593839595087,11.8460026857994,0.001,"gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]"
"K00121",0.0168629830461894,19.0389649240007,0.001,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"K00123",0.00601933892303281,6.72192776600615,0.001,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
"K00124",0.00862675698380757,9.65902632483092,0.001,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
"K00125",0.00617967149228923,6.90208799284772,0.001,"fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"
"K00127",0.00789220423998543,8.83003514721188,0.001,"fdoI, fdsG; formate dehydrogenase subunit gamma"
"K00130",0.0117684257573994,13.2185136876699,0.001,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"K00131",0.0061003766366399,6.81297980952622,0.001,"gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"K00132",0.00441280370237097,4.9199227630158,0.001,"E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]"
"K00135",0.0289312913127407,33.0705057941318,0.001,"gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"
"K00137",0.00994023488775965,11.1444390674359,0.001,"prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"
"K00138",0.028874502933994,33.0036626095864,0.001,"aldB; aldehyde dehydrogenase [EC:1.2.1.-]"
"K00140",0.0179269703414286,20.2621765164489,0.001,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
"K00145",0.0203523344658686,23.0604247342302,0.001,"argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"K00147",0.0123161486735764,13.8413977400868,0.001,"proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"K00151",0.00716256133536578,8.007799436884,0.001,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"K00154",0.0120149484094871,13.4987798783602,0.001,"E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]"
"K00156",0.00741641244369885,8.29372751646347,0.001,"poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]"
"K00158",0.00910647959974346,10.2010883587494,0.001,"spxB, poxL; pyruvate oxidase [EC:1.2.3.3]"
"K00161",0.018694050025733,21.1456941936485,0.001,"PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"
"K00162",0.0191004493941987,21.6143424823332,0.001,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"
"K00163",0.0245895919218627,27.9825259267493,0.001,"aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"K00164",0.0277759994146519,31.7121973245887,0.001,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"K00166",0.0173952837315162,19.6505925753232,0.001,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]"
"K00167",0.019897862019214,22.5350256727637,0.001,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]"
"K00169",0.00976917904198109,10.9507687572358,0.001,"porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"K00170",0.00822375472243146,9.20405967108454,0.001,"porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"K00171",0.00639673167394838,7.14608373827602,0.001,"porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"K00172",0.00973954426126417,10.9172229057034,0.001,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"K00174",0.0146499669853734,16.5032352046647,0.001,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"K00175",0.0132851895260207,14.9451089791582,0.001,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"K00176",0.0246877229109174,28.0970239735999,0.001,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"K00177",0.0255574975047237,29.1128744462589,0.001,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
"K00179",0.0348023421662792,40.0235117553767,0.001,"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
"K00180",0.0336958875188125,38.7066914678065,0.001,"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"
"K00196",0.00605678637896299,6.76400098971069,0.001,"cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit"
"K00198",0.00746202369930548,8.34511777282339,0.001,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
"K00208",0.0160270400110594,18.0797797659764,0.001,"fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"
"K00209",0.00265417143097386,2.95397063284261,0.003,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
"K00216",0.00924976398083926,10.3630941941386,0.001,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
"K00219",0.0142782149562205,16.0783892999797,0.001,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
"K00226",0.00436113186485558,4.86206045677659,0.001,"pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]"
"K00228",0.0286311168510193,32.7172717347147,0.001,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
"K00230",0.00466355879301188,5.2008045178833,0.001,"hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]"
"K00231",0.010765025620004,12.0792114590303,0.001,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]"
"K00239",0.0199269018870273,22.5685830344572,0.001,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
"K00240",0.0219546490251426,24.9166977723661,0.001,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
"K00241",0.0193376080155115,21.8880065888743,0.001,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit"
"K00242",0.0273386086408509,31.1987870197467,0.001,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit"
"K00243",0.00995864728747398,11.16528967079,0.001,"K00243; uncharacterized protein"
"K00244",0.00894636343960874,10.0201069363218,0.001,"frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
"K00245",0.00848893210755013,9.50338825708674,0.001,"frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
"K00246",0.00900689815822811,10.0885232571775,0.001,"frdC; succinate dehydrogenase subunit C"
"K00247",0.00900689815822811,10.0885232571775,0.001,"frdD; succinate dehydrogenase subunit D"
"K00248",0.00375757494438496,4.18663980108503,0.001,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
"K00249",0.00693959558650437,7.75678001739404,0.001,"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
"K00252",0.0325044342240055,37.2920799484054,0.001,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
"K00253",0.0199417447693165,22.5857356701017,0.001,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
"K00254",0.0238865155504169,27.162858298094,0.001,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
"K00259",0.00575904424046859,6.42956726927093,0.001,"ald; alanine dehydrogenase [EC:1.4.1.1]"
"K00261",0.00439593782371497,4.90103563223473,0.001,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
"K00262",0.0181830391547155,20.5569614975461,0.001,"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"K00265",0.0246858087039331,28.0947902797898,0.001,"gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]"
"K00266",0.0197630051740472,22.3792163109366,0.001,"gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]"
"K00275",0.0198820762174682,22.5167850376812,0.001,"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
"K00278",0.0123256310336392,13.8521873982188,0.001,"nadB; L-aspartate oxidase [EC:1.4.3.16]"
"K00281",0.0156667288428355,17.6668507761644,0.001,"GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]"
"K00282",0.00484552353236602,5.4047198179902,0.001,"gcvPA; glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]"
"K00283",0.00498075414102339,5.55631171913988,0.001,"gcvPB; glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]"
"K00285",0.0199120312720245,22.5513988715044,0.001,"dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]"
"K00294",0.00413230171700588,4.60588782404015,0.001,"E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]"
"K00297",0.0112857725219643,12.6702005000314,0.001,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
"K00299",0.0211067676763647,23.9336746308396,0.001,"ssuE, msuE; FMN reductase [EC:1.5.1.38]"
"K00311",0.0233946721511765,26.5901540236382,0.001,"ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]"
"K00313",0.00392146112706051,4.36995847331715,0.001,"fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]"
"K00318",0.00601786681612504,6.72027387907093,0.001,"PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]"
"K00322",0.012682564649944,14.2584808668416,0.001,"sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]"
"K00324",0.0202428111137869,22.9337641929903,0.001,"pntA; proton-translocating NAD(P)+ transhydrogenase subunit alpha [EC:7.1.1.1]"
"K00325",0.0206612817581379,23.4178658765834,0.001,"pntB; proton-translocating NAD(P)+ transhydrogenase subunit beta [EC:7.1.1.1]"
"K00330",0.0190994504328683,21.6131900321999,0.001,"nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]"
"K00331",0.016927158845205,19.1126695109452,0.001,"nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]"
"K00332",0.0211172682622453,23.9458384657376,0.001,"nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]"
"K00333",0.0261935247037006,29.856869058363,0.001,"nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]"
"K00334",0.00967635409430543,10.8456998770903,0.001,"nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]"
"K00335",0.0103632327322692,11.6236468907453,0.001,"nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]"
"K00336",0.0175917835304142,19.8765435705864,0.001,"nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]"
"K00337",0.0195794246138946,22.1671819901007,0.001,"nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]"
"K00338",0.019959179060363,22.605883636318,0.001,"nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]"
"K00339",0.0208858029289519,23.677770499588,0.001,"nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]"
"K00340",0.0203013686259226,23.0014807136847,0.001,"nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]"
"K00341",0.0198584155944784,22.4894460765488,0.001,"nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]"
"K00342",0.0274342656057218,31.3110299339479,0.001,"nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]"
"K00343",0.0202902608425729,22.9886349344914,0.001,"nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]"
"K00344",0.0316784985557559,36.3134902451754,0.001,"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
"K00346",0.0172549603626582,19.4892929804241,0.001,"nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]"
"K00347",0.0169334556947511,19.1199018317293,0.001,"nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]"
"K00348",0.0173975336095161,19.6531791513829,0.001,"nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]"
"K00349",0.0165136936764187,18.6379819047464,0.001,"nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]"
"K00350",0.0168934235127601,19.0739239749223,0.001,"nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]"
"K00351",0.0162069656738552,18.2860939956761,0.001,"nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]"
"K00355",0.0106929973982625,11.9975165250594,0.001,"NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"K00362",0.0144321537470858,16.254274852991,0.001,"nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]"
"K00363",0.0130572244696228,14.6852680019798,0.001,"nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]"
