"KO","r2","F","p_value","description"
"K01677",0.0237127678851879,26.9604799558242,0.001,"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
"K01678",0.0218702447427633,24.8187641097606,0.001,"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
"K01679",0.0241119061101956,27.4254967858428,0.001,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
"K01682",0.0166787408450433,18.8274199969073,0.001,"acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"
"K01684",0.00368882618991747,4.10975725099004,0.001,"dgoD; galactonate dehydratase [EC:4.2.1.6]"
"K01685",0.0136045136538628,15.3092855399468,0.001,"uxaA; altronate hydrolase [EC:4.2.1.7]"
"K01686",0.0142852344510894,16.0864083555441,0.001,"uxuA; mannonate dehydratase [EC:4.2.1.8]"
"K01687",0.0114922637796617,12.9047172095991,0.001,"ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]"
"K01690",0.0191532908061334,21.6753062385062,0.001,"edd; phosphogluconate dehydratase [EC:4.2.1.12]"
"K01692",0.0200635928221351,22.7265645703555,0.001,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
"K01693",0.00533422755424789,5.95274588634554,0.001,"hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]"
"K01695",0.0107794604624966,12.0955849935803,0.001,"trpA; tryptophan synthase alpha chain [EC:4.2.1.20]"
"K01696",0.0105028386667601,11.7818942546491,0.001,"trpB; tryptophan synthase beta chain [EC:4.2.1.20]"
"K01697",0.00975881782595583,10.9390398842321,0.001,"CBS; cystathionine beta-synthase [EC:4.2.1.22]"
"K01698",0.0206637809408488,23.420758262548,0.001,"hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]"
"K01699",0.00471089100082119,5.25383927507222,0.001,"pduC; propanediol dehydratase large subunit [EC:4.2.1.28]"
"K01703",0.0135053555761452,15.1961744285762,0.001,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
"K01704",0.0137333846546292,15.4563246179637,0.001,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
"K01706",0.00627824084523698,7.01287586189175,0.001,"gudD; glucarate dehydratase [EC:4.2.1.40]"
"K01708",0.00686824839841268,7.67647969158525,0.001,"garD; galactarate dehydratase [EC:4.2.1.42]"
"K01709",0.00650888994544811,7.27220180062878,0.001,"rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"
"K01710",0.00951522196912056,10.663360629046,0.001,"rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
"K01711",0.0121205272939169,13.6188529754486,0.001,"gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
"K01712",0.00822197344525656,9.2020495311216,0.001,"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"
"K01715",0.00410757797944508,4.57821694027303,0.001,"crt; enoyl-CoA hydratase [EC:4.2.1.17]"
"K01716",0.0147503450253664,16.6180042748436,0.001,"fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]"
"K01719",0.010532940070528,11.8160209184926,0.001,"hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]"
"K01720",0.0101999201399723,11.43858399867,0.001,"prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]"
"K01724",0.0294661497804625,33.7004487261468,0.001,"PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]"
"K01725",0.00785773094196549,8.79115991486045,0.001,"cynS; cyanate lyase [EC:4.2.1.104]"
"K01726",0.0123751536561566,13.9085408889677,0.001,"GAMMACA; gamma-carbonic anhydrase [EC:4.2.1.-]"
"K01728",0.00345725191985779,3.85086303466184,0.001,"pel; pectate lyase [EC:4.2.2.2]"
"K01734",0.0300354358292979,34.3717028456859,0.001,"mgsA; methylglyoxal synthase [EC:4.2.3.3]"
"K01737",0.0107578551962112,12.0710781789053,0.001,"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
"K01738",0.00761020983349893,8.51211187266098,0.001,"cysK; cysteine synthase [EC:2.5.1.47]"
"K01739",0.0143416899888416,16.1509071915946,0.001,"metB; cystathionine gamma-synthase [EC:2.5.1.48]"
"K01740",0.0111236872829669,12.4861853047808,0.001,"metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]"
"K01744",0.0058892378872436,6.5757803898505,0.001,"aspA; aspartate ammonia-lyase [EC:4.3.1.1]"
"K01745",0.00917001593393461,10.2729205316305,0.001,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
"K01749",0.016673425754201,18.8213184428155,0.001,"hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]"
"K01751",0.00611839604339702,6.83322800335002,0.001,"E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]"
"K01753",0.00428601141681752,4.77795102531092,0.001,"dsdA; D-serine dehydratase [EC:4.3.1.18]"
"K01754",0.008852121793709,9.91361168910448,0.001,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
"K01759",0.010706042256371,12.0123112160475,0.001,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
"K01760",0.0173004410420144,19.5415672893946,0.001,"metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]"
"K01761",0.00429987121151425,4.7934683413049,0.001,"E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]"
"K01766",0.00897795100442713,10.0558061498374,0.001,"csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]"
"K01768",0.0123452428287529,13.8745036566859,0.001,"E4.6.1.1; adenylate cyclase [EC:4.6.1.1]"
"K01770",0.0218070046063307,24.7453981239004,0.001,"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
"K01771",0.00295552374272212,3.29035607993782,0.002,"plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]"
"K01772",0.0364778375964451,42.0233195581602,0.001,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]"
"K01777",0.00175690090961999,1.95359227772795,0.03,"prdF; proline racemase [EC:5.1.1.4]"
"K01778",0.0190718638795075,21.58136577668,0.001,"dapF; diaminopimelate epimerase [EC:5.1.1.7]"
"K01779",0.00502417166223453,5.60499098193886,0.001,"racD; aspartate racemase [EC:5.1.1.13]"
"K01782",0.017094282230419,19.3046524531596,0.001,"fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]"
"K01785",0.0111374165523195,12.5017697908769,0.001,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
"K01787",0.0141245847002013,15.9029110310614,0.001,"RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]"
"K01788",0.012393831898843,13.9297969697437,0.001,"nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]"
"K01790",0.00970614888077733,10.8794225526962,0.001,"rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
"K01791",0.00452624136302201,5.04697172513474,0.001,"wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]"
"K01792",0.0135482782477514,15.2451341747275,0.001,"E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"
"K01796",0.0101653827332481,11.3994546534076,0.001,"AMACR, mcr; alpha-methylacyl-CoA racemase [EC:5.1.99.4]"
"K01798",0.0166558419097804,18.8011332225356,0.001,"alr-murF; Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]"
"K01799",0.00552601418716972,6.16795998212551,0.001,"nicE, maiA; maleate isomerase [EC:5.2.1.1]"
"K01800",0.0199279740999682,22.5698220808324,0.001,"maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]"
"K01802",0.0162519009581959,18.337631433462,0.001,"E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]"
"K01804",0.0172797063364784,19.5177347584707,0.001,"araA; L-arabinose isomerase [EC:5.3.1.4]"
"K01805",0.00705715840524861,7.88912060360369,0.001,"xylA; xylose isomerase [EC:5.3.1.5]"
"K01807",0.0153285086038914,17.2795137251261,0.001,"rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]"
"K01808",0.0157365686266413,17.7468659494939,0.001,"rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]"
"K01809",0.00376965362622364,4.20014863062436,0.001,"manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]"
"K01811",0.0108616527940878,12.1888253908,0.001,"xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]"
"K01812",0.0116100874313599,13.0385760568095,0.001,"uxaC; glucuronate isomerase [EC:5.3.1.12]"
"K01813",0.0166500617493201,18.7944980955842,0.001,"rhaA; L-rhamnose isomerase [EC:5.3.1.14]"
"K01814",0.0199633371723768,22.6106890709616,0.001,"hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]"
"K01815",0.0131406380091636,14.7803311717552,0.001,"kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]"
"K01816",0.00971972856010539,10.894793133695,0.001,"hyi, gip; hydroxypyruvate isomerase [EC:5.3.1.22]"
"K01817",0.00586143094852732,6.544548773591,0.001,"trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]"
"K01818",0.0115233388047912,12.9400182881932,0.001,"fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]"
"K01819",0.00651503174659288,7.27910886405432,0.001,"E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]"
"K01821",0.0120893467570399,13.5833892025194,0.001,"praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]"
"K01823",0.00860006467401014,9.62888078564615,0.001,"idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]"
"K01825",0.011529939531662,12.9475169678695,0.001,"fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]"
"K01826",0.0100994555722355,11.3247696935673,0.001,"hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]"
"K01834",0.0123838264392998,13.9184105279114,0.001,"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"K01835",0.00523222887505594,5.83832148557075,0.001,"pgm; phosphoglucomutase [EC:5.4.2.2]"
"K01838",0.00699990780444327,7.8246696289348,0.001,"pgmB; beta-phosphoglucomutase [EC:5.4.2.6]"
"K01839",0.013123658464322,14.7609789416263,0.001,"deoB; phosphopentomutase [EC:5.4.2.7]"
"K01840",0.0109432971239767,12.2814594676851,0.001,"manB; phosphomannomutase [EC:5.4.2.8]"
"K01843",0.00300267996533439,3.34301275895635,0.001,"kamA; lysine 2,3-aminomutase [EC:5.4.3.2]"
"K01845",0.0138660856501969,15.6077738000388,0.001,"hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"
"K01846",0.00248885238744876,2.7695190742281,0.004,"glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]"
"K01847",0.0123347256951192,13.8625361018371,0.001,"MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]"
"K01849",0.00960175067757895,10.7612702863765,0.001,"E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"
"K01854",0.00895071136912949,10.025020686367,0.001,"glf; UDP-galactopyranose mutase [EC:5.4.99.9]"
"K01857",0.0111711209275672,12.540030425923,0.001,"pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]"
"K01858",0.00715823010499572,8.00292217498617,0.001,"INO1, ISYNA1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]"
"K01878",0.0206263846548981,23.377479858766,0.001,"glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]"
"K01879",0.0212631428626391,24.1148459929889,0.001,"glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]"
"K01880",0.0221780636126724,25.1760056652227,0.001,"GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]"
"K01886",0.017179913820631,19.4030470165016,0.001,"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"
"K01893",0.0130441636347773,14.6703845310104,0.001,"NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]"
"K01894",0.00643145297362218,7.1851235851683,0.001,"gluQ; glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]"
"K01895",0.0335913805037851,38.5824708171982,0.001,"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
"K01897",0.018570743355241,21.0035771653981,0.001,"ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]"
"K01902",0.0243344879408766,27.6849814619011,0.001,"sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]"
"K01903",0.0299287613268661,34.2458612815499,0.001,"sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]"
"K01907",0.0111336567250783,12.4975018604724,0.001,"AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]"
"K01908",0.0177365667515917,20.0430846022219,0.001,"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
"K01910",0.0037156550080542,4.13975897510816,0.001,"citC; [citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]"
"K01911",0.0126445334664665,14.2151764217747,0.001,"menE; o-succinylbenzoate---CoA ligase [EC:6.2.1.26]"
"K01912",0.0175997856815417,19.8857469916823,0.001,"paaK; phenylacetate-CoA ligase [EC:6.2.1.30]"
"K01914",0.0207407717892972,23.5098695247284,0.001,"asnA; aspartate--ammonia ligase [EC:6.3.1.1]"
"K01916",0.015627640031422,17.6220718300462,0.001,"nadE; NAD+ synthase [EC:6.3.1.5]"
"K01918",0.0175702877694577,19.8518216431155,0.001,"panC; pantoate--beta-alanine ligase [EC:6.3.2.1]"
"K01919",0.0150759914083264,16.9904990814169,0.001,"gshA; glutamate--cysteine ligase [EC:6.3.2.2]"
"K01920",0.0249789769064114,28.4369913154737,0.001,"gshB; glutathione synthase [EC:6.3.2.3]"
"K01926",0.0291620783909074,33.3422359112801,0.001,"rex; redox-sensing transcriptional repressor"
"K01935",0.0120041586867927,13.4865103527453,0.001,"bioD; dethiobiotin synthetase [EC:6.3.3.3]"
"K01938",0.0198862033306823,22.5215538971796,0.001,"fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]"
"K01950",0.0203306144505945,23.03530392297,0.001,"E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"
"K01952",0.0172510154979939,19.4847590837009,0.001,"PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
"K01953",0.0157691024620925,17.784143717403,0.001,"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
"K01958",0.00473772370216977,5.28390700084641,0.001,"PC, pyc; pyruvate carboxylase [EC:6.4.1.1]"
"K01961",0.00987902629458479,11.0751306943344,0.001,"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
"K01962",0.0160986483766113,18.1618814412184,0.001,"accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]"
"K01963",0.0156328598461561,17.6280512843219,0.001,"accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]"
"K01966",0.00557438365848236,6.22225107563039,0.001,"PCCB, pccB; propionyl-CoA carboxylase beta subunit [EC:6.4.1.3 2.1.3.15]"
"K01968",0.021753346836448,24.6831562473235,0.001,"MCCC1, accA1; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]"
"K01969",0.0311010474003768,35.6303023362683,0.001,"MCCC2, accD1; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]"
"K01971",0.0143718699522529,16.1853899667291,0.001,"ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]"
"K01975",0.00942635509651803,10.5628230782927,0.001,"thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]"
"K01989",0.0082444416572446,9.22740504205852,0.001,"K01989; putative tryptophan/tyrosine transport system substrate-binding protein"
"K01991",0.0209241236696299,23.7221423127498,0.001,"wza, gfcE; polysaccharide biosynthesis/export protein"
"K01992",0.00536653562626694,5.98899469857171,0.001,"ABC-2.P; ABC-2 type transport system permease protein"
"K01993",0.0170555301685697,19.2601302191151,0.001,"ABC-2.TX; HlyD family secretion protein"
"K01995",0.00417559238430296,4.65434218234684,0.001,"livG; branched-chain amino acid transport system ATP-binding protein"
"K01996",0.00427093862806831,4.76107614115827,0.001,"livF; branched-chain amino acid transport system ATP-binding protein"
"K01997",0.00458003882243859,5.10723442484793,0.001,"livH; branched-chain amino acid transport system permease protein"
"K01998",0.00419206096651583,4.67277623569549,0.001,"livM; branched-chain amino acid transport system permease protein"
"K01999",0.00389524098382503,4.34062527350658,0.001,"livK; branched-chain amino acid transport system substrate-binding protein"
"K02000",0.00788322495145465,8.81990902299428,0.001,"proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]"
"K02001",0.00794619316074563,8.89092340316661,0.001,"proW; glycine betaine/proline transport system permease protein"
"K02002",0.00812326139875594,9.09066600889815,0.001,"proX; glycine betaine/proline transport system substrate-binding protein"
"K02005",0.0137912542610694,15.5223651138046,0.001,"ABC.CD.TX; HlyD family secretion protein"
"K02006",0.00685993327363928,7.66712187822509,0.001,"cbiO; cobalt/nickel transport system ATP-binding protein"
"K02007",0.00349615075440473,3.89434254601943,0.001,"cbiM; cobalt/nickel transport system permease protein"
"K02008",0.00701467516744601,7.84129356310282,0.001,"cbiQ; cobalt/nickel transport system permease protein"
"K02009",0.00688830119643131,7.69904768743549,0.001,"cbiN; cobalt/nickel transport protein"
"K02010",0.00568869064575225,6.35057306236001,0.001,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
"K02011",0.00428791780462456,4.78008537632603,0.001,"afuB, fbpB; iron(III) transport system permease protein"
"K02012",0.00578919006636676,6.46341893435665,0.001,"afuA, fbpA; iron(III) transport system substrate-binding protein"
"K02014",0.0255659805298803,29.1227910983636,0.001,"TC.FEV.OM; iron complex outermembrane recepter protein"
"K02015",0.00350169071912986,3.90053516602465,0.001,"ABC.FEV.P; iron complex transport system permease protein"
"K02016",0.00503743698082819,5.61986476330522,0.001,"ABC.FEV.S; iron complex transport system substrate-binding protein"
"K02017",0.00905211725880595,10.1396353251998,0.001,"modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]"
"K02018",0.00593204516759258,6.62386319166467,0.001,"modB; molybdate transport system permease protein"
"K02019",0.00284412267547418,3.16598060701085,0.001,"modE; molybdate transport system regulatory protein"
"K02020",0.00665022240792437,7.43116577796971,0.001,"modA; molybdate transport system substrate-binding protein"
"K02024",0.00970179843222906,10.8744984518053,0.001,"lamB; maltoporin"
"K02025",0.00957310975815927,10.7288603896468,0.001,"ABC.MS.P; multiple sugar transport system permease protein"
"K02026",0.00898776830807723,10.0669018029508,0.001,"ABC.MS.P1; multiple sugar transport system permease protein"
"K02027",0.00912522337287684,10.2222785187567,0.001,"ABC.MS.S; multiple sugar transport system substrate-binding protein"
"K02028",0.0103805825177224,11.6433109447129,0.001,"ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]"
"K02029",0.0108154685503797,12.1364312817633,0.001,"ABC.PA.P; polar amino acid transport system permease protein"
"K02031",0.0111409812111581,12.5058162077866,0.001,"ddpD; peptide/nickel transport system ATP-binding protein"
"K02032",0.00550891100874768,6.14876421458183,0.001,"ddpF; peptide/nickel transport system ATP-binding protein"
"K02033",0.00841662463150313,9.42175269678819,0.001,"ABC.PE.P; peptide/nickel transport system permease protein"
"K02034",0.00801788201681332,8.97178374218801,0.001,"ABC.PE.P1; peptide/nickel transport system permease protein"
"K02035",0.00755545118940764,8.45039738521759,0.001,"ABC.PE.S; peptide/nickel transport system substrate-binding protein"
"K02038",0.027154057977286,30.9822995120061,0.001,"pstA; phosphate transport system permease protein"
"K02039",0.0212678711089551,24.1203248918461,0.001,"phoU; phosphate transport system protein"
"K02041",0.00498261766096043,5.55840099060858,0.001,"phnC; phosphonate transport system ATP-binding protein [EC:7.3.2.2]"
"K02042",0.00518005736210788,5.77980338501584,0.001,"phnE; phosphonate transport system permease protein"
"K02043",0.00892242528933931,9.99305435203498,0.001,"phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein"
"K02044",0.00527144583841718,5.88231317595473,0.001,"phnD; phosphonate transport system substrate-binding protein"
"K02045",0.0140719542555227,15.842808500123,0.001,"cysA; sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]"
"K02046",0.0142641322687819,16.0623016130982,0.001,"cysU; sulfate/thiosulfate transport system permease protein"
"K02047",0.0145149372481401,16.3488833615049,0.001,"cysW; sulfate/thiosulfate transport system permease protein"
"K02048",0.00939806468714279,10.5308211410205,0.001,"cysP; sulfate/thiosulfate transport system substrate-binding protein"
"K02049",0.0053143898839485,5.93048970568157,0.001,"ABC.SN.A; NitT/TauT family transport system ATP-binding protein"
"K02050",0.00395049975880925,4.40244659649589,0.001,"ABC.SN.P; NitT/TauT family transport system permease protein"
"K02051",0.00460159276237043,5.13138048955288,0.001,"ABC.SN.S; NitT/TauT family transport system substrate-binding protein"
"K02052",0.00378594760260499,4.21837237567411,0.001,"ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein"
"K02053",0.00453430373150686,5.05600259339837,0.001,"ABC.SP.P; putative spermidine/putrescine transport system permease protein"
"K02054",0.00237798135809269,2.64585109205608,0.002,"ABC.SP.P1; putative spermidine/putrescine transport system permease protein"
"K02055",0.00798183998089051,8.93112922309587,0.001,"ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein"
"K02056",0.00158266154702364,1.75953907202602,0.071,"ABC.SS.A; simple sugar transport system ATP-binding protein [EC:7.5.2.-]"
"K02057",0.00353158074351379,3.93394767917005,0.001,"ABC.SS.P; simple sugar transport system permease protein"
"K02058",0.00288046679269107,3.2065545136827,0.002,"ABC.SS.S; simple sugar transport system substrate-binding protein"
"K02063",0.00960562007260201,10.76564901486,0.001,"thiP; thiamine transport system permease protein"
"K02064",0.00975675200068177,10.9367014040617,0.001,"thiB, tbpA; thiamine transport system substrate-binding protein"
"K02065",0.0234443195091181,26.6479374141166,0.001,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
"K02066",0.0250259181086626,28.4918026197454,0.001,"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
"K02067",0.0253279229764114,28.844567487426,0.001,"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
"K02068",0.00720058359771608,8.05061693370921,0.001,"STAR1, fetA; UDP-glucose/iron transport system ATP-binding protein"
"K02069",0.00642193599637658,7.17442263897647,0.001,"STAR2, fetB; UDP-glucose/iron transport system permease protein"
"K02071",0.0119456593414939,13.4199925281651,0.001,"metN; D-methionine transport system ATP-binding protein"
"K02072",0.0118306950662699,13.2892930978465,0.001,"metI; D-methionine transport system permease protein"
"K02073",0.0119824647783339,13.4618419509798,0.001,"metQ; D-methionine transport system substrate-binding protein"
"K02074",0.00760638874005959,8.50780517495152,0.001,"ABC.ZM.A; zinc/manganese transport system ATP-binding protein"
"K02075",0.0120958307655434,13.5907637277788,0.001,"ABC.ZM.P; zinc/manganese transport system permease protein"
"K02076",0.00797950313731793,8.9284934237089,0.001,"zurR, zur; Fur family transcriptional regulator, zinc uptake regulator"
"K02077",0.00971063292528627,10.8844979108561,0.001,"ABC.ZM.S; zinc/manganese transport system substrate-binding protein"
"K02081",0.00248033264645495,2.76001499285648,0.004,"agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor"
"K02082",0.00584897632530366,6.53056081669487,0.001,"agaS; D-galactosamine 6-phosphate deaminase/isomerase [EC:3.5.99.-]"
"K02086",0.021016450280955,23.8290621109568,0.001,"dnaD; DNA replication protein"
"K02099",0.022035616690089,25.0106598393857,0.001,"araC; AraC family transcriptional regulator, arabinose operon regulatory protein"
"K02100",0.00793008884554934,8.87276039681176,0.001,"araE; MFS transporter, SP family, arabinose:H+ symporter"
"K02103",0.0087672885659517,9.81776549134182,0.001,"araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor"
"K02106",0.00464657277413204,5.18177326586546,0.001,"atoE; short-chain fatty acids transporter"
"K02107",0.00438531307467618,4.88913791330568,0.001,"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"
"K02110",0.00806404221159229,9.02385560739681,0.001,"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
"K02113",0.0169826677350158,19.176428092507,0.001,"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
"K02114",0.007280816660464,8.14097947208791,0.001,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
"K02116",0.0069953863917961,7.81957987755871,0.001,"atpI; ATP synthase protein I"
"K02117",0.0213843004506803,24.2552551641941,0.001,"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]"
"K02118",0.0213256618233241,24.1872946908887,0.001,"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"
"K02119",0.0212356182755712,24.0829526758572,0.001,"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"
"K02120",0.0211694258722474,24.0062614913046,0.001,"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"
"K02121",0.0244799130811298,27.8545812479143,0.001,"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"
"K02122",0.021113254180165,23.941188538982,0.001,"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"
"K02123",0.0290041452728366,33.1562705403051,0.001,"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"
"K02124",0.0291908830447302,33.3761597555572,0.001,"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"
"K02160",0.0146765489518597,16.5336259065332,0.001,"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
"K02167",0.00886253994014089,9.92538344072099,0.001,"betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"
"K02168",0.0117628370330746,13.2121616105928,0.001,"betT, betS; choline/glycine/proline betaine transport protein"
"K02169",0.0131669281268516,14.8102963280947,0.001,"bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]"
"K02170",0.0108805417115079,12.2102554939843,0.001,"bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]"
"K02171",0.0139203197755845,15.6696819342046,0.001,"blaI; BlaI family transcriptional regulator, penicillinase repressor"
