attention_weight,group1,group2
0.0027715119798028486,Non-biomarker,Model_1
0.00022749085088863037,Non-biomarker,Model_1
0.001128871861260892,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.003771056704150096,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.000709271126919806,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0014624087295184481,Non-biomarker,Model_1
0.006810002978525888,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.000366904681511953,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0002707191925568892,Non-biomarker,Model_1
0.0006609328237234372,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0002964777716745922,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.002278889182443711,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00011434691830300785,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
9.989045450792548e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00029691447065595096,Non-biomarker,Model_1
0.00013118996010983626,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00042219275572136174,Non-biomarker,Model_1
0.0020950521324195072,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.005537374082076185,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0013824444921577618,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00010089300499827255,Non-biomarker,Model_1
