FPR,TPR
0.0,0.0
0.0,0.01818181818181818
0.0,0.07272727272727272
0.03125,0.09090909090909091
0.03125,0.12727272727272726
0.03125,0.14545454545454545
0.03125,0.21818181818181817
0.0625,0.23636363636363636
0.0625,0.2727272727272727
0.125,0.32727272727272727
0.125,0.38181818181818183
0.1875,0.38181818181818183
0.1875,0.4909090909090909
0.21875,0.4909090909090909
0.28125,0.4909090909090909
0.28125,0.5272727272727272
0.28125,0.5636363636363636
0.3125,0.5818181818181818
0.34375,0.6363636363636364
0.375,0.6545454545454545
0.40625,0.6545454545454545
0.4375,0.6727272727272727
0.5,0.6727272727272727
0.625,0.6727272727272727
0.65625,0.6909090909090909
0.65625,0.7090909090909091
0.6875,0.7272727272727273
0.71875,0.7818181818181819
0.78125,0.8181818181818182
0.8125,0.8181818181818182
0.8125,0.8363636363636363
0.84375,0.8545454545454545
0.90625,0.8909090909090909
0.9375,0.8909090909090909
0.9375,0.9454545454545454
0.9375,0.9818181818181818
1.0,0.9818181818181818
1.0,1.0
