FPR,TPR
0.0,0.0
0.0,0.04
0.0,0.24
0.03773584905660377,0.24
0.03773584905660377,0.36
0.05660377358490566,0.36
0.05660377358490566,0.48
0.07547169811320754,0.48
0.07547169811320754,0.64
0.07547169811320754,0.72
0.11320754716981132,0.72
0.1509433962264151,0.76
0.18867924528301888,0.76
0.22641509433962265,0.76
0.22641509433962265,0.8
0.2830188679245283,0.8
0.2830188679245283,0.84
0.3018867924528302,0.88
0.32075471698113206,0.88
0.3584905660377358,0.88
0.3584905660377358,0.92
0.39622641509433965,0.92
0.4528301886792453,0.92
0.4716981132075472,0.96
0.49056603773584906,0.96
0.5283018867924528,0.96
0.5283018867924528,1.0
0.5849056603773585,1.0
0.6792452830188679,1.0
0.7169811320754716,1.0
0.8679245283018868,1.0
0.9433962264150944,1.0
1.0,1.0
