FPR,TPR
0.0,0.0
0.0,0.024390243902439025
0.0,0.12195121951219512
0.0,0.17073170731707318
0.0,0.2926829268292683
0.02,0.3170731707317073
0.02,0.34146341463414637
0.04,0.36585365853658536
0.04,0.5365853658536586
0.06,0.5365853658536586
0.06,0.5853658536585366
0.1,0.5853658536585366
0.1,0.6829268292682927
0.12,0.6829268292682927
0.12,0.7073170731707317
0.14,0.7073170731707317
0.16,0.7317073170731707
0.2,0.7317073170731707
0.22,0.7317073170731707
0.22,0.7804878048780488
0.24,0.7804878048780488
0.24,0.8048780487804879
0.28,0.8048780487804879
0.28,0.8292682926829268
0.3,0.8292682926829268
0.32,0.8536585365853658
0.34,0.8536585365853658
0.34,0.8780487804878049
0.42,0.8780487804878049
0.44,0.8780487804878049
0.48,0.926829268292683
0.58,0.926829268292683
0.58,0.9512195121951219
0.64,0.9512195121951219
0.68,0.9512195121951219
0.68,0.975609756097561
0.84,0.975609756097561
0.84,1.0
1.0,1.0
